from,to,action,p(s),frequency
0,55,3,0.6036733649046461,9433
0,55,5,0.14143094841930118,2210
0,55,4,0.003391782925892743,53
0,0,5,0.12332010751311916,1927
0,0,3,0.11653654166133368,1821
0,0,4,0.001407909893766799,22
0,0,2,0.0003199795213106361,5
0,276,2,0.0007039549468833995,11
0,276,5,0.006591578138999104,103
0,276,4,0.0007679508511455267,12
0,37,0,0.0007039549468833995,11
0,1028,1,0.00044797132983489054,7
0,124,0,0.0002559836170485089,4
0,1030,1,0.00019198771278638167,3
0,1375,3,0.00012799180852425445,2
0,979,3,0.00012799180852425445,2
1,1,3,0.1895424836601307,29
1,1,5,0.1830065359477124,28
1,1,4,0.013071895424836602,2
1,5,5,0.23529411764705882,36
1,5,3,0.20915032679738563,32
1,5,4,0.0196078431372549,3
1,85,3,0.032679738562091505,5
1,85,5,0.1111111111111111,17
1,1203,2,0.006535947712418301,1
2,24,5,0.9473684210526315,36
2,11,5,0.05263157894736842,2
3,23,2,0.0041841004184100415,2
3,10,5,0.2698744769874477,129
3,40,5,0.3305439330543933,158
3,369,3,0.1087866108786611,52
3,369,4,0.008368200836820083,4
3,3,3,0.09832635983263599,47
3,3,4,0.010460251046025104,5
3,720,5,0.012552301255230125,6
3,764,5,0.01882845188284519,9
3,420,5,0.06276150627615062,30
3,900,5,0.02092050209205021,10
3,683,5,0.03765690376569038,18
3,1283,5,0.014644351464435146,7
3,1175,5,0.0020920502092050207,1
4,4,5,0.35655539429124333,737
4,4,2,0.23996129656507015,496
4,4,3,0.05563618771165941,115
4,4,4,0.026124818577648767,54
4,17,5,0.14223512336719885,294
4,17,4,0.010643444605708756,22
4,17,2,0.07305273343009192,151
4,17,3,0.022738268021286888,47
4,26,5,0.012578616352201259,26
4,26,3,0.003386550556361877,7
4,26,2,0.005805515239477504,12
4,26,4,0.0004837929366231253,1
4,359,2,0.002902757619738752,6
4,359,5,0.0038703434929850023,8
4,359,3,0.0043541364296081275,9
4,359,4,0.0004837929366231253,1
4,101,0,0.028543783260764392,59
4,367,0,0.00822447992259313,17
4,67,5,0.0019351717464925011,4
4,1149,5,0.0004837929366231253,1
5,1,5,0.25,51
5,1,3,0.17647058823529413,36
5,1,4,0.014705882352941176,3
5,5,3,0.12745098039215685,26
5,5,5,0.4117647058823529,84
5,5,4,0.00980392156862745,2
5,1024,5,0.004901960784313725,1
5,68,2,0.004901960784313725,1
6,6,5,0.4732142857142857,106
6,6,3,0.05803571428571429,13
6,6,4,0.022321428571428572,5
6,22,2,0.17857142857142858,40
6,52,5,0.20089285714285715,45
6,52,3,0.004464285714285714,1
6,52,4,0.004464285714285714,1
6,238,3,0.004464285714285714,1
6,238,5,0.013392857142857142,3
6,388,2,0.022321428571428572,5
6,960,5,0.004464285714285714,1
6,1449,2,0.004464285714285714,1
6,544,5,0.004464285714285714,1
6,102,0,0.004464285714285714,1
7,78,5,0.9543836226079216,4289
7,7,4,0.013796172674677348,62
7,7,1,0.016243880729862038,73
7,320,5,0.013796172674677348,62
7,1365,5,0.0004450378282153983,2
7,302,4,0.0008900756564307966,4
7,302,1,0.00022251891410769915,1
7,832,3,0.00022251891410769915,1
8,24,5,0.8440366972477065,92
8,11,5,0.13761467889908258,15
8,2,0,0.009174311926605505,1
8,1440,5,0.009174311926605505,1
9,9,5,0.25925925925925924,21
9,9,3,0.345679012345679,28
9,9,4,0.012345679012345678,1
