from,to,action,p(s),frequency
0,0,4,0.14755494066939817,2773
0,0,2,0.2239663704570851,4209
0,0,5,0.24349491832065132,4576
0,24,5,0.015803756717926887,297
0,24,4,0.005693609322620125,107
0,24,2,0.0073431596871175436,138
0,15,1,0.17682115681370722,3323
0,19,2,0.022401958175916566,421
0,19,4,0.01585696802000745,298
0,19,5,0.027723088383972756,521
0,39,0,0.006811046666311924,128
0,41,1,0.018517533124035545,348
0,26,0,0.067897621454797,1276
0,12,1,0.011812909061884744,222
0,7,0,0.0027137764061086573,51
0,48,3,0.0044697493747672,84
0,81,3,0.000585324322886181,11
0,84,3,0.00010642260416112382,2
0,109,1,0.00021284520832224764,4
0,132,3,5.321130208056191e-05,1
0,129,3,0.00015963390624168573,3
1,27,3,0.06369487943126141,663
1,1,1,0.24488423479681046,2549
1,1,5,0.08934575847823999,930
1,1,4,0.008069939475453935,84
1,61,1,0.24805456816216737,2582
1,61,5,0.1162455567297531,1210
1,61,4,0.007397444519166106,77
1,16,0,0.01325775770967432,138
1,20,2,0.10433278893265444,1086
1,14,3,0.04284753578633874,446
1,56,2,0.046306081275819005,482
1,22,0,0.007301373811124988,76
1,22,1,0.0002882121241233548,3
1,22,5,9.607070804111827e-05,1
1,144,3,0.002978191949274666,31
1,135,3,0.0034585454894802575,36
1,99,0,0.0006724949562878278,7
1,103,0,0.0007685656643289462,8
2,2,5,0.37819823693829285,1759
2,2,1,0.06815738550849279,317
2,2,4,0.04837669318426145,225
2,51,5,0.18598150935282734,865
2,51,4,0.032896151365297784,153
2,51,1,0.06815738550849279,317
2,9,3,0.034401204042141476,160
2,8,0,0.04579660288110084,213
2,68,0,0.06729735540743927,313
2,5,2,0.026230918082132876,122
2,30,3,0.032896151365297784,153
2,53,2,0.0077402709094818315,36
2,138,3,0.0017200602021070737,8
2,206,3,0.00043001505052676843,2
2,217,3,0.00043001505052676843,2
2,75,0,0.00043001505052676843,2
2,175,3,0.0006450225757901526,3
2,460,5,0.00021500752526338422,1
3,37,5,0.7335499593826158,1806
3,25,5,0.2307067424857839,568
3,3,2,0.00974817221770918,24
3,3,4,0.002437043054427295,6
3,75,0,0.012997562956945572,32
3,23,0,0.005686433793663688,14
3,72,1,0.0020308692120227455,5
3,47,2,0.0012185215272136475,3
3,490,5,0.0012185215272136475,3
3,38,1,0.00040617384240454913,1
4,4,1,0.29554655870445345,73
4,4,4,0.004048582995951417,1
4,38,5,0.5870445344129555,145
4,186,2,0.0728744939271255,18
4,80,0,0.032388663967611336,8
4,194,3,0.008097165991902834,2
5,2,1,0.0703037120359955,375
5,5,4,0.07892763404574428,421
5,5,5,0.24859392575928008,1326
5,5,2,0.016497937757780277,88
5,30,3,0.02699662542182227,144
5,3,5,0.1439820022497188,768
5,3,2,0.005061867266591676,27
5,3,4,0.0026246719160104987,14
5,53,5,0.04143232095988002,221
5,53,4,0.010311211098612674,55
5,53,2,0.0013123359580052493,7
5,51,1,0.09073865766779153,484
5,8,0,0.13048368953880765,696
5,68,0,0.02699662542182227,144
5,9,3,0.013685789276340458,73
5,10,4,0.0074990626171728535,40
5,10,5,0.010686164229471317,57
5,10,2,0.0009373828271466067,5
5,50,0,0.015185601799775027,81
5,36,1,0.0035620547431571056,19
5,47,5,0.007686539182602175,41
5,47,2,0.0003749531308586427,2
5,23,0,0.0018747656542932134,10
5,75,0,0.03374578177727784,180
5,58,3,0.0018747656542932134,10
5,95,4,0.001687289088863892,9
5,95,5,0.001687289088863892,9
5,217,3,0.0003749531308586427,2
5,78,3,0.0007499062617172854,4
5,206,3,0.0009373828271466067,5
5,138,3,0.001687289088863892,9
5,72,1,0.0011248593925759281,6
5,97,3,0.00018747656542932134,1
5,38,1,0.00018747656542932134,1
6,6,0,0.27424120333064733,1021
