id,value,p(s),frequency
0,Held(PLAYER;NOTHING)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;TOP)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.046972568578553614,18836
1,Held(PLAYER;NOTHING)+Held(PARTNER;ONION)+PotState(POT0;PREPARING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;RIGHT)+Action2Nearest(SERVICE;RIGHT)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.026049875311720698,10446
2,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;INTERACT)+Action2Nearest(SERVICE;TOP)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.011610972568578553,4656
3,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;FINISHED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;TOP)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.006172069825436409,2475
4,Held(PLAYER;NOTHING)+Held(PARTNER;ONION)+PotState(POT0;FINISHED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;INTERACT)+Action2Nearest(SERVICE;TOP)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.0006209476309226933,249
5,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;TOP)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.013329177057356608,5345
6,Held(PLAYER;SOUP)+Held(PARTNER;ONION)+PotState(POT0;NOT_STARTED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;INTERACT)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.009316708229426434,3736
7,Held(PLAYER;NOTHING)+Held(PARTNER;ONION)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;INTERACT)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.008655860349127182,3471
8,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;INTERACT)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.04628678304239402,18561
9,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;RIGHT)+Action2Nearest(SERVICE;RIGHT)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.005887780548628429,2361
