from,to,action,p(s),frequency
0,9,3,0.5731132075471698,729
0,15,0,0.21226415094339623,270
0,0,4,0.06446540880503145,82
0,0,1,0.049528301886792456,63
0,8,3,0.03380503144654088,43
0,20,0,0.0023584905660377358,3
0,52,3,0.012578616352201259,16
0,35,0,0.02122641509433962,27
0,72,2,0.00550314465408805,7
0,77,0,0.00550314465408805,7
0,14,4,0.0015723270440251573,2
0,14,1,0.0047169811320754715,6
0,60,4,0.0047169811320754715,6
0,60,1,0.0015723270440251573,2
0,131,0,0.0047169811320754715,6
0,258,2,0.0007861635220125787,1
0,381,5,0.0015723270440251573,2
1,2,5,0.6442105263157895,918
1,1,0,0.29543859649122806,421
1,1,4,0.002105263157894737,3
1,29,3,0.028070175438596492,40
1,49,5,0.023157894736842106,33
1,74,0,0.004912280701754386,7
1,303,1,0.0014035087719298245,2
1,62,3,0.0007017543859649122,1
2,2,5,0.04661654135338346,62
2,2,4,0.019548872180451128,26
2,2,0,0.0007518796992481203,1
2,21,3,0.8744360902255639,1163
2,3,3,0.02330827067669173,31
2,146,2,0.027819548872180452,37
2,236,3,0.005263157894736842,7
2,49,5,0.0007518796992481203,1
2,143,2,0.0007518796992481203,1
2,246,1,0.0007518796992481203,1
3,53,5,0.3899782135076253,716
3,33,5,0.5871459694989106,1078
3,49,0,0.008169934640522876,15
3,3,4,0.0016339869281045752,3
3,3,3,0.0027233115468409588,5
3,21,3,0.0016339869281045752,3
3,21,4,0.0010893246187363835,2
3,2,0,0.0054466230936819175,10
3,296,5,0.002178649237472767,4
4,55,3,0.04264705882352941,58
4,66,2,0.17647058823529413,240
4,84,3,0.22647058823529412,308
4,4,4,0.2580882352941177,351
4,4,1,0.12058823529411765,164
4,4,5,0.0007352941176470588,1
4,54,0,0.1,136
4,61,4,0.026470588235294117,36
4,61,1,0.008823529411764706,12
4,114,2,0.020588235294117647,28
4,34,0,0.014705882352941176,20
4,241,2,0.0014705882352941176,2
4,136,3,0.0007352941176470588,1
4,94,4,0.0007352941176470588,1
4,116,2,0.0014705882352941176,2
5,5,5,0.15993736718487864,1430
5,5,3,0.2179845654848451,1949
5,5,4,0.07683704283637177,687
5,25,5,0.03534280281847668,316
5,25,3,0.045632479588412926,408
5,25,4,0.010737054020803043,96
5,20,0,0.32893412369980984,2941
5,36,0,0.06431047981210156,575
5,110,5,0.0002236886254333967,2
5,110,3,0.0007829101890168885,7
5,110,4,0.0003355329381500951,3
5,14,1,0.04395481489766245,393
5,13,1,0.007381724639302091,66
5,140,5,0.0005592215635834918,5
5,140,3,0.0007829101890168885,7
5,140,4,0.00011184431271669836,1
5,79,2,0.003355329381500951,30
5,19,3,0.0005592215635834918,5
5,19,4,0.00011184431271669836,1
5,101,5,0.0007829101890168885,7
5,101,3,0.0003355329381500951,3
5,122,2,0.0003355329381500951,3
5,141,0,0.0002236886254333967,2
5,15,0,0.0002236886254333967,2
5,317,0,0.0002236886254333967,2
6,19,5,0.32575757575757575,946
6,48,0,0.2265840220385675,658
6,41,5,0.39221763085399447,1139
6,76,3,0.011019283746556474,32
6,76,4,0.0003443526170798898,1
6,6,3,0.008264462809917356,24
6,6,4,0.0013774104683195593,4
6,93,0,0.03340220385674931,97
6,237,1,0.0003443526170798898,1
6,320,2,0.0003443526170798898,1
6,223,2,0.0003443526170798898,1
7,38,0,0.24009461856889414,406
7,83,0,0.6700177409816677,1133
7,104,5,0.03725606150206978,63
7,121,5,0.04967474866942637,84
7,7,3,0.002365464222353637,4
7,46,3,0.0005913660555884093,1
8,15,0,0.08553875236294896,181
8,8,3,0.18147448015122875,384
8,8,4,0.08270321361058601,175
8,35,0,0.4829867674858223,1022
8,60,1,0.09168241965973535,194
8,9,3,0.026465028355387523,56
8,9,4,0.008506616257088847,18
8,37,2,0.02835538752362949,60
8,0,1,0.007561436672967864,16
8,72,2,0.0033081285444234404,7
8,51,4,0.0004725897920604915,1
8,149,0,0.0004725897920604915,1
8,112,2,0.0004725897920604915,1
9,15,0,0.23136645962732919,745
9,77,0,0.0018633540372670807,6
9,9,4,0.03975155279503106,128
9,9,3,0.5959627329192546,1919
9,9,5,0.0015527950310559005,5
9,8,3,0.05217391304347826,168
9,8,4,0.002484472049689441,8
9,60,1,0.0034161490683229812,11
9,52,3,0.004037267080745342,13
9,52,4,0.0009316770186335404,3
9,35,0,0.02111801242236025,68
9,72,2,0.004658385093167702,15
9,0,1,0.03260869565217391,105
9,131,0,0.005279503105590062,17
9,20,0,0.0012422360248447205,4
9,261,3,0.0006211180124223603,2
9,161,0,0.00031055900621118014,1
9,37,2,0.0006211180124223603,2
10,4,1,0.021918941273779982,53
10,47,3,0.17907361455748552,433
