from,to,action,p(s),frequency
1,11,2,0.2920353982300885,33
1,521,2,0.1415929203539823,16
1,584,2,0.5575221238938053,63
1,1324,2,0.008849557522123894,1
3,1269,2,1.0,1
17,17,0,0.8571428571428571,6
17,58,0,0.14285714285714285,1
29,303,1,0.9707792207792207,1794
29,593,1,0.027597402597402596,51
29,636,1,0.0005411255411255411,1
29,1321,1,0.0010822510822510823,2
29,11,2,0.5843179377013964,1088
29,221,2,0.015037593984962405,28
29,521,2,0.11331901181525242,211
29,522,2,0.004296455424274973,8
29,582,2,0.006981740064446832,13
29,584,2,0.27604726100966703,514
29,29,3,0.9788503253796096,1805
29,62,3,0.021149674620390455,39
29,29,4,0.9795240730492529,1770
29,62,4,0.020475926950747094,37
33,372,1,0.3333333333333333,1
33,408,1,0.3333333333333333,1
33,1328,1,0.3333333333333333,1
42,925,1,1.0,2
45,1280,2,0.25,1
45,1308,2,0.25,1
45,1329,2,0.25,1
45,1530,2,0.25,1
46,1473,2,1.0,1
46,33,4,1.0,1
48,897,2,1.0,3
50,50,0,0.3333333333333333,1
50,59,0,0.6666666666666666,2
53,372,1,1.0,5
53,1280,2,0.7142857142857143,5
53,1308,2,0.14285714285714285,1
53,1327,2,0.14285714285714285,1
59,467,1,1.0,2
62,303,1,0.4074074074074074,33
62,593,1,0.5925925925925926,48
62,11,2,0.1956521739130435,18
62,221,2,0.17391304347826086,16
62,503,2,0.021739130434782608,2
62,521,2,0.07608695652173914,7
62,522,2,0.06521739130434782,6
62,582,2,0.358695652173913,33
62,584,2,0.09782608695652174,9
62,657,2,0.010869565217391304,1
62,29,3,0.3711340206185567,36
62,62,3,0.6082474226804123,59
62,777,3,0.020618556701030927,2
62,29,4,0.42857142857142855,45
62,62,4,0.5619047619047619,59
62,777,4,0.009523809523809525,1
62,29,5,0.46464646464646464,46
62,62,5,0.5151515151515151,51
62,777,5,0.020202020202020204,2
68,925,1,1.0,1
74,303,1,0.2585034013605442,38
74,593,1,0.7414965986394558,109
74,11,2,0.06289308176100629,10
74,221,2,0.15723270440251572,25
74,521,2,0.05660377358490566,9
74,522,2,0.05660377358490566,9
74,582,2,0.41509433962264153,66
74,584,2,0.24528301886792453,39
74,657,2,0.006289308176100629,1
74,1,4,0.22556390977443608,30
74,74,4,0.7669172932330827,102
74,394,4,0.007518796992481203,1
93,93,4,0.9584775086505191,277
93,367,4,0.04152249134948097,12
140,1646,1,1.0,1
140,1642,2,1.0,2
144,924,1,1.0,1
145,1771,0,1.0,4
150,589,2,0.9964005235602095,3045
150,646,2,0.0032722513089005235,10
150,665,2,0.0003272251308900524,1
150,150,4,0.9959375,3187
150,647,4,0.00375,12
150,664,4,0.0003125,1
153,1651,1,1.0,3
165,165,0,1.0,1
165,940,2,1.0,1
175,1359,1,1.0,1
215,1284,0,1.0,1
215,215,2,1.0,2
221,221,1,0.9319240415621641,2601
221,503,1,0.06449301325689717,180
221,662,1,0.0032246506628448583,9
221,829,1,0.00035829451809387314,1
221,152,2,0.00385559060637925,11
221,480,2,0.2520154223624255,719
221,523,2,0.015071854188573432,43
221,603,2,0.6887486855941115,1965
221,604,2,0.0385559060637925,110
221,667,2,0.0010515247108307045,3
221,686,2,0.0003505082369435682,1
221,988,2,0.0003505082369435682,1
221,11,4,0.004188481675392671,12
221,221,4,0.9445026178010472,2706
221,503,4,0.04886561954624782,140
221,662,4,0.002443280977312391,7
221,11,5,0.0047272727272727275,13
221,221,5,0.9454545454545454,2600
221,503,5,0.048363636363636366,133
221,662,5,0.0014545454545454545,4
231,231,1,0.6666666666666666,2
231,1002,1,0.3333333333333333,1
231,1003,2,1.0,4
231,231,4,0.8,4
231,472,4,0.2,1
234,234,1,1.0,12
234,314,2,0.09090909090909091,2
234,570,2,0.5454545454545454,12
234,639,2,0.36363636363636365,8
234,459,3,1.0,23
234,234,4,1.0,28
234,781,5,1.0,24
235,215,0,1.0,1
235,235,1,1.0,1
236,689,0,1.0,6
236,690,1,1.0,6
236,628,2,0.6666666666666666,2
236,693,2,0.3333333333333333,1
236,236,3,1.0,4
236,236,4,1.0,1
237,223,2,1.0,1
237,1008,3,1.0,1
237,237,4,1.0,1
254,392,1,1.0,1
266,411,0,1.0,1
279,1051,5,1.0,1
300,392,1,1.0,1
303,303,1,0.9475524475524476,813
303,593,1,0.05011655011655012,43
303,636,1,0.002331002331002331,2
303,221,2,0.5878300803673938,512
303,503,2,0.03214695752009185,28
303,522,2,0.1354764638346728,118
303,582,2,0.21125143513203215,184
303,657,2,0.01951779563719862,17
303,662,2,0.003444316877152698,3
303,675,2,0.010332950631458095,9
303,371,3,0.9437706725468578,856
303,592,3,0.05402425578831312,49
303,635,3,0.002205071664829107,2
303,303,4,0.9477866061293984,835
303,593,4,0.049943246311010214,44
303,636,4,0.0022701475595913734,2
303,517,5,0.9446327683615819,836
303,524,5,0.05084745762711865,45
303,718,5,0.004519774011299435,4
304,407,0,0.5714285714285714,4
304,1584,0,0.14285714285714285,1
304,1701,0,0.2857142857142857,2
304,304,4,1.0,6
304,304,5,1.0,5
310,310,1,1.0,1
310,1715,2,1.0,2
313,234,1,1.0,28
313,314,2,0.07692307692307693,3
313,570,2,0.15384615384615385,6
313,639,2,0.717948717948718,28
313,1244,2,0.02564102564102564,1
313,1710,2,0.02564102564102564,1
313,76,4,0.02702702702702703,1
313,313,4,0.972972972972973,36
314,314,1,1.0,49
314,481,2,0.11764705882352941,4
314,790,2,0.8529411764705882,29
314,1001,2,0.029411764705882353,1
315,315,0,1.0,3
315,737,1,1.0,2
315,316,2,1.0,1
315,315,4,1.0,1
315,315,5,1.0,3
316,623,0,1.0,4
316,695,1,1.0,3
316,316,2,1.0,5
316,695,4,1.0,1
320,223,0,1.0,1
320,223,1,1.0,1
320,320,4,1.0,1
322,1334,5,1.0,1
331,1561,1,1.0,1
331,1563,2,1.0,1
366,279,1,1.0,1
366,1050,2,1.0,1
366,366,4,1.0,1
366,366,5,1.0,1
367,367,0,1.0,2
367,234,1,1.0,3
367,570,2,0.1111111111111111,1
367,639,2,0.8888888888888888,8
367,367,4,1.0,1
371,303,1,0.9233409610983981,807
371,593,1,0.07208237986270023,63
371,636,1,0.004576659038901602,4
371,221,2,0.3211764705882353,273
371,503,2,0.03411764705882353,29
371,522,2,0.2447058823529412,208
371,582,2,0.3611764705882353,307
371,634,2,0.001176470588235294,1
371,657,2,0.024705882352941175,21
371,662,2,0.001176470588235294,1
371,675,2,0.011764705882352941,10
371,371,3,0.9315217391304348,857
371,592,3,0.06521739130434782,60
371,635,3,0.003260869565217391,3
371,371,4,0.9266365688487584,821
371,592,4,0.06997742663656885,62
371,635,4,0.003386004514672686,3
371,371,5,0.9359430604982206,789
371,592,5,0.060498220640569395,51
371,635,5,0.0035587188612099642,3
372,372,1,1.0,3
372,1278,2,0.3333333333333333,1
372,1474,2,0.3333333333333333,1
372,1529,2,0.3333333333333333,1
372,1305,3,1.0,1
372,237,4,0.5,1
372,372,4,0.5,1
372,1288,5,1.0,4
377,517,1,0.375,27
377,524,1,0.625,45
377,518,2,0.23076923076923078,18
377,528,2,0.08974358974358974,7
377,579,2,0.1794871794871795,14
377,585,2,0.11538461538461539,9
377,586,2,0.3076923076923077,24
377,597,2,0.07692307692307693,6
377,446,3,0.39325842696629215,35
377,660,3,0.5955056179775281,53
377,1143,3,0.011235955056179775,1
377,377,4,0.44285714285714284,31
377,382,4,0.5571428571428572,39
378,718,1,1.0,27
378,532,2,0.018518518518518517,1
378,606,2,0.018518518518518517,1
378,682,2,0.14814814814814814,8
378,761,2,0.2777777777777778,15
378,780,2,0.018518518518518517,1
378,792,2,0.5185185185185185,28
378,378,4,0.9714285714285714,34
378,384,4,0.02857142857142857,1
380,380,1,0.9770992366412213,128
380,606,1,0.007633587786259542,1
380,745,1,0.015267175572519083,2
380,535,2,0.5562913907284768,84
380,560,2,0.39072847682119205,59
380,733,2,0.013245033112582781,2
380,861,2,0.033112582781456956,5
380,1712,2,0.006622516556291391,1
380,380,4,1.0,115
380,380,5,0.5317460317460317,67
380,543,5,0.4444444444444444,56
380,608,5,0.023809523809523808,3
382,517,1,0.9719853836784409,798
382,524,1,0.024360535931790498,20
382,718,1,0.0036540803897685747,3
382,518,2,0.00880503144654088,7
382,528,2,0.1660377358490566,132
382,579,2,0.43144654088050316,343
382,585,2,0.3836477987421384,305
382,586,2,0.006289308176100629,5
382,761,2,0.0012578616352201257,1
382,792,2,0.0025157232704402514,2
382,377,4,0.012300123001230012,10
382,378,4,0.004920049200492005,4
382,382,4,0.982779827798278,799
384,559,1,0.9230769230769231,24
384,718,1,0.07692307692307693,2
384,532,2,0.17647058823529413,3
384,606,2,0.23529411764705882,4
384,670,2,0.058823529411764705,1
384,780,2,0.47058823529411764,8
384,792,2,0.058823529411764705,1
384,607,3,1.0,13
384,384,4,0.9411764705882353,16
384,386,4,0.058823529411764705,1
385,559,1,1.0,32
385,532,2,0.023255813953488372,1
385,533,2,0.4186046511627907,18
385,670,2,0.5348837209302325,23
385,780,2,0.023255813953488372,1
385,385,3,1.0,41
385,385,4,0.9791666666666666,47
385,607,4,0.020833333333333332,1
385,385,5,1.0,45
386,559,1,0.9962264150943396,264
386,1590,1,0.0037735849056603774,1
386,384,4,0.01953125,5
386,386,4,0.98046875,251
392,392,1,1.0,1
394,74,0,0.5714285714285714,4
394,394,0,0.42857142857142855,3
394,593,1,1.0,5
394,221,2,0.1,1
394,503,2,0.1,1
394,582,2,0.3,3
394,657,2,0.4,4
394,675,2,0.1,1
394,62,3,0.8,8
394,777,3,0.2,2
394,74,4,0.8333333333333334,5
394,394,4,0.16666666666666666,1
407,407,0,0.9858870967741935,489
407,867,0,0.010080645161290322,5
407,1005,0,0.004032258064516129,2
408,408,1,1.0,1
408,1002,2,0.5,1
408,1304,2,0.5,1
408,889,3,1.0,1
408,408,4,1.0,1
411,1525,0,1.0,1
411,1524,2,1.0,1
411,411,4,1.0,1
411,411,5,1.0,1
416,1619,2,1.0,1
