from,to,action,p(s),frequency
8,384,2,0.7890625,101
8,1230,2,0.0703125,9
8,1248,2,0.0703125,9
8,1704,2,0.0078125,1
8,2636,2,0.0546875,7
8,3289,2,0.0078125,1
16,68,5,0.25,1
16,986,5,0.75,3
23,23,0,0.6616541353383458,88
23,240,0,0.3383458646616541,45
23,1989,3,0.6870748299319728,101
23,1990,3,0.2925170068027211,43
23,3236,3,0.006802721088435374,1
23,4278,3,0.013605442176870748,2
38,1078,2,0.375,15
38,1953,2,0.25,10
38,2416,2,0.05,2
38,3271,2,0.325,13
40,958,3,0.004878048780487805,2
40,1077,3,0.9902439024390244,406
40,1441,3,0.004878048780487805,2
49,25,2,0.8,4
49,483,2,0.2,1
58,231,2,0.2777777777777778,10
58,285,2,0.7222222222222222,26
58,53,4,0.1111111111111111,4
58,58,4,0.8611111111111112,31
58,288,4,0.027777777777777776,1
62,8,4,0.15346534653465346,31
62,62,4,0.693069306930693,140
62,220,4,0.11386138613861387,23
62,1258,4,0.039603960396039604,8
73,73,4,0.986084452975048,2055
73,793,4,0.0004798464491362764,1
73,2444,4,0.013435700575815739,28
83,83,0,0.46153846153846156,6
83,142,0,0.23076923076923078,3
83,1350,0,0.3076923076923077,4
83,147,1,0.1111111111111111,1
83,1197,1,0.1111111111111111,1
83,1223,1,0.1111111111111111,1
83,1978,1,0.4444444444444444,4
83,3225,1,0.2222222222222222,2
83,83,3,0.6,9
83,1350,3,0.4,6
83,83,4,0.6,6
83,142,4,0.2,2
83,1350,4,0.2,2
83,83,5,0.6666666666666666,8
83,142,5,0.08333333333333333,1
83,1350,5,0.16666666666666666,2
83,3287,5,0.08333333333333333,1
90,90,5,0.8,4
90,116,5,0.2,1
95,110,2,0.20212765957446807,19
95,115,2,0.02127659574468085,2
95,374,2,0.031914893617021274,3
95,760,2,0.031914893617021274,3
95,2140,2,0.010638297872340425,1
95,2144,2,0.2978723404255319,28
95,2420,2,0.18085106382978725,17
95,2425,2,0.1702127659574468,16
95,2427,2,0.010638297872340425,1
95,2443,2,0.0425531914893617,4
101,73,3,0.02346041055718475,8
101,101,3,0.9618768328445748,328
101,927,3,0.011730205278592375,4
101,1528,3,0.002932551319648094,1
102,102,0,0.058823529411764705,12
102,1365,0,0.9411764705882353,192
110,115,0,0.3684210526315789,7
110,2413,0,0.631578947368421,12
110,116,1,0.96,24
110,2415,1,0.04,1
110,110,2,1.0,15
110,110,4,0.9285714285714286,13
110,374,4,0.07142857142857142,1
110,2416,5,1.0,12
115,115,0,0.5769230769230769,90
115,2413,0,0.38461538461538464,60
115,2417,0,0.00641025641025641,1
115,2418,0,0.03205128205128205,5
115,115,2,0.96,144
115,2418,2,0.02666666666666667,4
115,2420,2,0.006666666666666667,1
