from,to,action,p(s),frequency
64,1699,1,0.7482014388489209,104
64,1700,1,0.2517985611510791,35
64,64,3,0.7987012987012987,123
64,327,3,0.19480519480519481,30
64,850,3,0.006493506493506494,1
73,78,1,0.8,4
73,398,1,0.2,1
78,78,1,0.2761904761904762,58
78,320,1,0.7238095238095238,152
91,91,0,0.6533018867924528,277
91,878,0,0.3466981132075472,147
91,1695,2,0.6268292682926829,257
91,1696,2,0.37317073170731707,153
118,118,1,0.2912621359223301,30
118,173,1,0.7087378640776699,73
118,118,4,0.3125,35
118,173,4,0.6875,77
118,118,5,0.36363636363636365,48
118,173,5,0.6363636363636364,84
126,126,2,0.9956786985256736,7834
126,145,2,0.003050330452465684,24
126,647,2,0.0011438739196746315,9
126,1730,2,0.00012709710218607016,1
141,1722,1,1.0,1
141,141,3,0.5,1
141,187,3,0.5,1
145,173,1,0.00048496605237633366,1
145,197,1,0.16682832201745879,344
145,1711,1,0.8326867119301649,1717
145,145,2,0.9995019920318725,2007
145,180,2,0.00049800796812749,1
165,213,0,0.75,12
165,712,0,0.1875,3
165,878,0,0.0625,1
165,78,1,0.07692307692307693,2
165,197,1,0.6538461538461539,17
165,320,1,0.23076923076923078,6
165,1712,1,0.038461538461538464,1
165,12,4,0.16666666666666666,4
165,145,4,0.5416666666666666,13
165,165,4,0.2916666666666667,7
166,1701,1,0.125,1
166,1707,1,0.875,7
166,166,3,0.7142857142857143,5
166,538,3,0.2857142857142857,2
173,118,1,0.009519725557461407,222
173,173,1,0.9902658662092625,23093
173,1718,1,0.0002144082332761578,5
180,173,1,0.6666666666666666,4
180,197,1,0.3333333333333333,2
180,145,4,0.16666666666666666,1
180,180,4,0.3333333333333333,2
180,181,4,0.5,3
180,145,5,0.2,1
180,180,5,0.4,2
180,181,5,0.4,2
181,118,1,0.5833333333333334,7
181,173,1,0.3333333333333333,4
181,320,1,0.08333333333333333,1
181,180,4,0.125,1
181,181,4,0.875,7
181,180,5,0.18181818181818182,2
181,181,5,0.8181818181818182,9
187,1722,1,1.0,1
187,187,3,1.0,1
191,1701,1,1.0,1
191,1702,3,1.0,1
191,191,4,1.0,1
197,197,1,0.9993808446133481,46809
197,320,1,0.0004483539006789359,21
197,1698,1,0.00017080148597292796,8
197,197,4,0.999133392551509,46117
