from,to,action,p(s),frequency
0,69,0,0.4981684981684982,136
0,235,0,0.42857142857142855,117
0,71,0,0.007326007326007326,2
0,0,5,0.014652014652014652,4
0,0,2,0.003663003663003663,1
0,95,0,0.01098901098901099,3
0,486,5,0.02197802197802198,6
0,921,1,0.003663003663003663,1
0,1012,1,0.003663003663003663,1
0,323,0,0.003663003663003663,1
0,665,0,0.003663003663003663,1
1,50,5,0.6373640944046672,4807
1,1,5,0.05184301246353752,391
1,1,0,0.03540175019888624,267
1,1,4,0.00503845133916733,38
1,77,5,0.017104216388225936,129
1,77,0,0.00954653937947494,72
1,77,4,0.0013259082471492973,10
1,20,5,0.20803500397772473,1569
1,54,5,0.016308671439936355,123
1,67,5,0.0064969504110315565,49
1,259,0,0.0003977724741447892,3
1,259,5,0.0013259082471492973,10
1,157,3,0.00013259082471492973,1
1,65,3,0.0013259082471492973,10
1,93,3,0.003579952267303103,27
1,86,1,0.0007955449482895784,6
1,15,1,0.001458499071864227,11
1,36,5,0.0017236807212940865,13
1,36,0,0.0005303632988597189,4
1,36,4,0.00013259082471492973,1
1,311,3,0.00013259082471492973,1
2,67,5,0.12244897959183673,42
2,217,5,0.49271137026239065,169
2,210,5,0.18658892128279883,64
2,259,5,0.014577259475218658,5
2,259,0,0.011661807580174927,4
2,259,4,0.0029154518950437317,1
2,2,5,0.06997084548104957,24
2,2,0,0.008746355685131196,3
2,2,4,0.0029154518950437317,1
2,207,4,0.0058309037900874635,2
2,207,5,0.03206997084548105,11
2,207,0,0.02040816326530612,7
2,644,3,0.0029154518950437317,1
2,19,5,0.02040816326530612,7
2,157,3,0.0029154518950437317,1
2,65,3,0.0029154518950437317,1
3,56,2,0.0036363636363636364,11
3,55,2,0.5279338842975206,1597
3,84,0,0.08429752066115702,255
3,3,5,0.12165289256198347,368
3,3,1,0.0036363636363636364,11
3,3,4,0.013223140495867768,40
3,132,2,0.0009917355371900827,3
3,124,2,0.009256198347107438,28
3,147,2,0.06942148760330578,210
3,176,2,0.015537190082644628,47
3,4,0,0.026115702479338844,79
3,231,2,0.03636363636363636,110
3,121,0,0.00628099173553719,19
3,12,2,0.04661157024793389,141
3,99,2,0.011570247933884297,35
3,99,0,0.00033057851239669424,1
3,99,3,0.00033057851239669424,1
3,472,2,0.0059504132231404955,18
3,0,2,0.001652892561983471,5
3,819,5,0.004297520661157025,13
3,819,1,0.00033057851239669424,1
3,837,2,0.001322314049586777,4
3,521,0,0.0029752066115702478,9
3,980,2,0.00033057851239669424,1
3,675,2,0.0006611570247933885,2
3,1021,2,0.0009917355371900827,3
3,184,2,0.0009917355371900827,3
3,445,0,0.00033057851239669424,1
3,1087,2,0.0006611570247933885,2
3,1074,2,0.001652892561983471,5
3,1398,2,0.00033057851239669424,1
3,662,2,0.00033057851239669424,1
4,0,2,0.060755336617405585,37
4,12,2,0.6174055829228243,376
4,184,2,0.019704433497536946,12
4,240,2,0.0180623973727422,11
4,4,2,0.07060755336617405,43
4,4,0,0.019704433497536946,12
4,4,5,0.009852216748768473,6
4,316,5,0.009852216748768473,6
4,140,2,0.090311986863711,55
4,111,5,0.019704433497536946,12
4,486,2,0.009852216748768473,6
4,132,2,0.03284072249589491,20
4,728,2,0.0016420361247947454,1
4,330,2,0.003284072249589491,2
4,980,2,0.0016420361247947454,1
4,662,2,0.006568144499178982,4
4,536,2,0.0016420361247947454,1
4,863,2,0.0016420361247947454,1
4,278,2,0.003284072249589491,2
4,521,5,0.0016420361247947454,1
5,5,4,0.09484536082474226,92
5,5,5,0.2907216494845361,282
5,5,1,0.021649484536082474,21
5,40,5,0.22783505154639175,221
5,40,4,0.03814432989690722,37
5,83,0,0.05979381443298969,58
5,83,3,0.050515463917525774,49
5,27,0,0.015463917525773196,15
5,27,3,0.010309278350515464,10
5,127,4,0.008247422680412371,8
5,127,5,0.04845360824742268,47
5,16,3,0.0288659793814433,28
5,16,0,0.026804123711340205,26
5,260,1,0.002061855670103093,2
5,100,1,0.02268041237113402,22
5,103,1,0.030927835051546393,30
5,706,1,0.002061855670103093,2
5,143,5,0.009278350515463918,9
5,143,1,0.004123711340206186,4
5,143,4,0.004123711340206186,4
5,164,0,0.002061855670103093,2
5,164,3,0.0010309278350515464,1
6,77,0,0.7363259969492264,3379
6,1,0,0.11898016997167139,546
6,6,5,0.07735890172150796,355
6,6,4,0.003486598387448246,16
6,6,1,0.0008716495968620615,4
6,15,5,0.009588145565482676,44
6,15,4,0.0010895619960775767,5
6,86,1,0.007409021573327523,34
6,86,5,0.0013074743952930922,6
6,145,0,0.022444977119198083,103
6,65,3,0.0028328611898017,13
6,149,5,0.005229897581172369,24
6,149,4,0.00043582479843103073,2
6,236,1,0.0008716495968620615,4
6,283,0,0.003486598387448246,16
6,93,3,0.0008716495968620615,4
6,282,0,0.007191109174112007,33
6,343,3,0.00021791239921551536,1
7,59,1,0.016129032258064516,2
7,90,3,0.27419354838709675,34
7,7,4,0.0967741935483871,12
7,7,5,0.0967741935483871,12
7,7,3,0.04032258064516129,5
7,45,0,0.04838709677419355,6
7,25,3,0.04838709677419355,6
7,68,0,0.24193548387096775,30
7,138,0,0.04838709677419355,6
7,858,3,0.008064516129032258,1
7,87,4,0.016129032258064516,2
7,87,5,0.024193548387096774,3
7,87,1,0.008064516129032258,1
7,1054,5,0.008064516129032258,1
7,1054,4,0.024193548387096774,3
8,73,2,0.6877470355731226,174
8,114,2,0.2648221343873518,67
8,110,5,0.015810276679841896,4
8,8,5,0.02766798418972332,7
8,1303,2,0.003952569169960474,1
9,93,5,0.5873015873015873,148
9,311,5,0.15079365079365079,38
9,267,2,0.027777777777777776,7
9,11,3,0.09523809523809523,24
9,11,0,0.011904761904761904,3
9,11,4,0.011904761904761904,3
