from,to,action,p(s),frequency
0,9,3,0.5742092457420924,944
0,15,0,0.21289537712895376,350
0,0,4,0.06386861313868614,105
0,0,1,0.04866180048661801,80
0,8,3,0.03467153284671533,57
0,20,0,0.0018248175182481751,3
0,52,3,0.014598540145985401,24
0,35,0,0.02068126520681265,34
0,72,2,0.004866180048661801,8
0,77,0,0.004257907542579075,7
0,14,4,0.0012165450121654502,2
0,14,1,0.004257907542579075,7
0,60,4,0.0036496350364963502,6
0,60,1,0.0012165450121654502,2
0,131,0,0.006082725060827251,10
0,258,2,0.0006082725060827251,1
0,381,5,0.0024330900243309003,4
1,2,5,0.6492307692307693,1688
1,1,0,0.295,767
1,1,4,0.002307692307692308,6
1,29,3,0.026923076923076925,70
1,49,5,0.019230769230769232,50
1,74,0,0.005,13
1,303,1,0.0015384615384615385,4
1,62,3,0.0003846153846153846,1
1,542,5,0.0003846153846153846,1
2,2,5,0.04073918521629567,97
2,2,4,0.019739605207895843,47
2,2,0,0.00041999160016799666,1
2,21,3,0.878202435951281,2091
2,3,3,0.024359512809743807,58
2,146,2,0.026879462410751787,64
2,236,3,0.00503989920201596,12
2,49,5,0.0020999580008399833,5
2,143,2,0.00041999160016799666,1
2,246,1,0.00041999160016799666,1
2,549,2,0.0016799664006719867,4
3,53,5,0.3930885529157667,910
3,33,5,0.5840172786177106,1352
3,49,0,0.00734341252699784,17
3,3,4,0.0017278617710583153,4
3,3,3,0.0034557235421166306,8
3,21,3,0.0021598272138228943,5
3,21,4,0.0012958963282937365,3
3,2,0,0.004751619870410367,11
3,296,5,0.0021598272138228943,5
4,55,3,0.03896848137535817,68
4,66,2,0.17363896848137536,303
4,84,3,0.21891117478510028,382
4,4,4,0.2670487106017192,466
4,4,1,0.12320916905444126,215
4,4,5,0.0005730659025787965,1
4,54,0,0.101432664756447,177
4,61,4,0.024068767908309457,42
4,61,1,0.008022922636103151,14
4,114,2,0.018911174785100286,33
4,34,0,0.014326647564469915,25
4,241,2,0.004584527220630372,8
4,136,3,0.0005730659025787965,1
4,94,4,0.001146131805157593,2
4,116,2,0.001146131805157593,2
4,1308,2,0.002292263610315186,4
4,108,3,0.0005730659025787965,1
4,499,2,0.0005730659025787965,1
5,5,5,0.15536332179930795,1796
5,5,3,0.21868512110726643,2528
5,5,4,0.07742214532871973,895
5,25,5,0.033996539792387544,393
5,25,3,0.045761245674740485,529
5,25,4,0.010207612456747405,118
5,20,0,0.33062283737024223,3822
5,36,0,0.06660899653979238,770
5,110,5,0.00017301038062283736,2
5,110,3,0.0008650519031141869,10
5,110,4,0.0006055363321799307,7
5,14,1,0.04359861591695502,504
5,13,1,0.00726643598615917,84
5,140,5,0.0006920415224913495,8
5,140,3,0.0010380622837370243,12
5,140,4,8.650519031141868e-05,1
5,79,2,0.0035467128027681662,41
5,19,3,0.00043252595155709344,5
5,19,4,8.650519031141868e-05,1
5,101,5,0.0008650519031141869,10
5,101,3,0.00043252595155709344,5
5,122,2,0.00043252595155709344,5
5,141,0,0.0002595155709342561,3
5,15,0,0.00017301038062283736,2
5,317,0,0.00043252595155709344,5
5,2419,1,0.0002595155709342561,3
5,0,1,8.650519031141868e-05,1
6,19,5,0.3138780804150454,1210
6,48,0,0.24046692607003892,927
6,41,5,0.3901426718547341,1504
6,76,3,0.011413748378728923,44
6,76,4,0.00025940337224383917,1
6,6,3,0.008560311284046693,33
6,6,4,0.0015564202334630351,6
6,93,0,0.03268482490272374,126
6,237,1,0.00025940337224383917,1
6,320,2,0.0005188067444876783,2
6,223,2,0.00025940337224383917,1
7,38,0,0.2391884676988788,448
7,83,0,0.6775226908702616,1269
7,104,5,0.03363587827015483,63
7,121,5,0.046983449012279764,88
7,7,3,0.002135611318739989,4
7,46,3,0.0005339028296849973,1
8,15,0,0.0853167337971439,233
8,8,3,0.1797876235811058,491
8,8,4,0.08128890516294397,222
8,8,5,0.0003661662394727206,1
8,35,0,0.4848041010618821,1324
8,60,1,0.09007689491028927,246
8,9,3,0.025997803002563165,71
8,9,4,0.008055657268399853,22
8,37,2,0.03185646283412669,87
8,0,1,0.006957158549981692,19
8,72,2,0.0032954961552544857,9
8,51,4,0.0003661662394727206,1
8,149,0,0.0003661662394727206,1
8,112,2,0.0010984987184181618,3
8,2279,2,0.0003661662394727206,1
9,15,0,0.22900024207213748,946
9,77,0,0.0019365770999757927,8
9,9,4,0.03994190268700073,165
9,9,3,0.5967078189300411,2465
9,9,5,0.0012103606874848704,5
9,8,3,0.0532558702493343,220
9,8,4,0.0036310820624546117,15
9,60,1,0.0038731541999515854,16
9,52,3,0.00411522633744856,17
9,52,4,0.0007262164124909223,3
9,35,0,0.02130234809973372,88
9,72,2,0.0036310820624546117,15
9,0,1,0.03340595497458242,138
9,131,0,0.0045993706124425075,19
9,20,0,0.0012103606874848704,5
9,261,3,0.0004841442749939482,2
9,161,0,0.0004841442749939482,2
9,37,2,0.0004841442749939482,2
10,4,1,0.019077901430842606,60
10,47,3,0.17901430842607313,563
10,47,5,0.0575516693163752,181
10,47,4,0.06772655007949126,213
10,54,0,0.028934817170111288,91
10,10,3,0.1945945945945946,612
10,10,4,0.10333863275039745,325
10,10,5,0.05087440381558029,160
10,81,3,0.029570747217806042,93
10,81,5,0.004133545310015898,13
10,81,4,0.012082670906200318,38
10,94,1,0.04737678855325914,149
10,71,0,0.11065182829888712,348
10,109,2,0.019077901430842606,60
10,106,3,0.009538950715421303,30
10,106,4,0.001589825119236884,5
10,106,5,0.0019077901430842607,6
10,139,2,0.0009538950715421304,3
10,32,2,0.022257551669316374,70
10,44,3,0.012400635930047695,39
10,44,5,0.003179650238473768,10
10,44,4,0.0019077901430842607,6
10,116,2,0.0019077901430842607,6
10,80,2,0.003179650238473768,10
10,12,0,0.00985691573926868,31
10,111,2,0.0003179650238473768,1
10,125,1,0.004451510333863275,14
10,98,5,0.0003179650238473768,1
10,98,3,0.0009538950715421304,3
10,98,4,0.0003179650238473768,1
10,1771,2,0.0003179650238473768,1
10,3883,2,0.0003179650238473768,1
10,3917,1,0.0003179650238473768,1
11,29,3,0.8464322647362978,1637
11,62,3,0.03516028955532575,68
11,11,5,0.01499482936918304,29
11,11,0,0.06773526370217166,131
11,11,4,0.007238883143743537,14
11,221,1,0.017063081695966906,33
11,152,2,0.00672182006204757,13
11,480,2,0.000517063081695967,1
11,503,1,0.001034126163391934,2
11,310,1,0.0015511892450879006,3
11,694,2,0.000517063081695967,1
11,922,2,0.001034126163391934,2
12,12,0,0.1542470036477332,592
12,12,4,0.1474726420010422,566
12,12,5,0.06774361646690985,260
12,10,3,0.12167795726941115,467
12,81,3,0.3671182907764461,1409
12,71,4,0.038301198540906724,147
12,71,0,0.040906722251172485,157
12,71,5,0.025273579989577907,97
