from,to,action,p(s),frequency
0,55,3,0.6027811366384522,12961
0,55,5,0.1404520509720026,3020
0,55,4,0.003767091433355037,81
0,0,5,0.127011440796205,2731
0,0,3,0.11487303506650544,2470
0,0,4,0.0014417263510371127,31
0,0,2,0.00046507301646358477,10
0,276,2,0.0005580876197563017,12
0,276,5,0.0060924565156729605,131
0,276,4,0.0006976095246953772,15
0,37,0,0.0006976095246953772,15
0,1028,1,0.0004185657148172263,9
0,124,0,0.00023253650823179238,5
0,1030,1,0.00023253650823179238,5
0,1375,3,9.301460329271696e-05,2
0,1375,5,4.650730164635848e-05,1
0,979,3,0.00013952190493907542,3
1,1,3,0.1958762886597938,38
1,1,5,0.17010309278350516,33
1,1,4,0.015463917525773196,3
1,5,5,0.23195876288659795,45
1,5,3,0.1958762886597938,38
1,5,4,0.015463917525773196,3
1,85,3,0.02577319587628866,5
1,85,5,0.11855670103092783,23
1,1203,2,0.005154639175257732,1
1,1203,3,0.010309278350515464,2
1,68,3,0.015463917525773196,3
2,24,5,0.941747572815534,97
2,11,5,0.038834951456310676,4
2,4290,2,0.009708737864077669,1
2,4809,1,0.009708737864077669,1
3,23,2,0.002828854314002829,2
3,23,0,0.0014144271570014145,1
3,10,5,0.25035360678925034,177
3,40,5,0.31683168316831684,224
3,369,3,0.1173974540311174,83
3,369,4,0.005657708628005658,4
3,3,3,0.10325318246110325,73
3,3,4,0.009900990099009901,7
3,3,2,0.0014144271570014145,1
3,720,5,0.01272984441301273,9
3,764,5,0.015558698727015558,11
3,420,5,0.05233380480905234,37
3,900,5,0.026874115983026876,19
3,683,5,0.03818953323903819,27
3,1283,5,0.015558698727015558,11
3,1175,5,0.0014144271570014145,1
3,1150,0,0.007072135785007072,5
3,1149,0,0.0014144271570014145,1
3,713,0,0.005657708628005658,4
3,1287,3,0.004243281471004243,3
3,1287,0,0.0014144271570014145,1
3,1290,3,0.002828854314002829,2
3,1290,0,0.002828854314002829,2
3,1282,0,0.0014144271570014145,1
3,3420,0,0.0014144271570014145,1
4,4,5,0.3509090909090909,772
4,4,2,0.23545454545454544,518
4,4,3,0.056363636363636366,124
4,4,4,0.026363636363636363,58
4,17,5,0.1440909090909091,317
4,17,4,0.011363636363636364,25
4,17,2,0.07136363636363637,157
4,17,3,0.025,55
4,26,5,0.015,33
4,26,3,0.005,11
4,26,2,0.006818181818181818,15
4,26,4,0.00045454545454545455,1
4,359,2,0.0027272727272727275,6
4,359,5,0.004090909090909091,9
4,359,3,0.005454545454545455,12
4,359,4,0.00045454545454545455,1
4,101,0,0.02772727272727273,61
4,367,0,0.008181818181818182,18
4,67,5,0.0018181818181818182,4
4,1149,5,0.00045454545454545455,1
4,1149,3,0.00045454545454545455,1
4,16,0,0.00045454545454545455,1
5,1,5,0.24193548387096775,60
5,1,3,0.18951612903225806,47
5,1,4,0.012096774193548387,3
5,5,3,0.13306451612903225,33
5,5,5,0.3951612903225806,98
5,5,4,0.008064516129032258,2
5,1024,5,0.004032258064516129,1
5,68,2,0.004032258064516129,1
5,68,3,0.008064516129032258,2
5,1203,3,0.004032258064516129,1
6,6,5,0.4732142857142857,106
6,6,3,0.05803571428571429,13
6,6,4,0.022321428571428572,5
6,22,2,0.17857142857142858,40
6,52,5,0.20089285714285715,45
6,52,3,0.004464285714285714,1
6,52,4,0.004464285714285714,1
6,238,3,0.004464285714285714,1
6,238,5,0.013392857142857142,3
6,388,2,0.022321428571428572,5
6,960,5,0.004464285714285714,1
6,1449,2,0.004464285714285714,1
6,544,5,0.004464285714285714,1
6,102,0,0.004464285714285714,1
7,78,5,0.9549446974625895,5871
7,7,4,0.013825634352635003,85
7,7,1,0.016590761223162005,102
7,320,5,0.012849707221860768,79
7,1365,5,0.00032530904359141186,2
7,302,4,0.0008132726089785296,5
7,302,1,0.00016265452179570593,1
7,832,3,0.00016265452179570593,1
7,832,2,0.00016265452179570593,1
7,296,3,0.00016265452179570593,1
8,24,5,0.8083333333333333,97
8,11,5,0.175,21
8,2,0,0.008333333333333333,1
8,1440,5,0.008333333333333333,1
9,9,5,0.25925925925925924,21
9,9,3,0.345679012345679,28
9,9,4,0.012345679012345678,1
9,80,5,0.2222222222222222,18
9,80,3,0.12345679012345678,10
9,80,4,0.024691358024691357,2
9,85,3,0.012345679012345678,1
10,97,0,0.9766355140186916,209
10,40,4,0.004672897196261682,1
10,40,2,0.018691588785046728,4
11,102,5,0.6764705882352942,138
11,303,1,0.049019607843137254,10
11,364,1,0.06372549019607843,13
11,21,1,0.058823529411764705,12
11,703,1,0.0392156862745098,8
11,99,1,0.00980392156862745,2
11,664,1,0.049019607843137254,10
11,821,1,0.0392156862745098,8
11,665,5,0.004901960784313725,1
11,769,1,0.004901960784313725,1
11,1425,3,0.004901960784313725,1
12,12,5,0.30518142925051495,3852
12,12,3,0.08730787513864681,1102
12,12,4,0.012597052765013468,159
12,12,2,0.0005545872286483917,7
12,50,5,0.19149104737759468,2417
12,50,3,0.3715734431944224,4690
12,50,4,0.02281730312153383,288
12,165,5,0.003010616384091269,38
12,165,4,0.00031690698779908097,4
12,165,2,0.0009507209633972429,12
12,78,1,0.0011884012042465537,15
12,878,0,0.0017429884328949454,22
12,712,0,0.00039613373474885124,5
12,320,1,0.0006338139755981619,8
12,73,3,0.00015845349389954048,2
12,73,5,7.922674694977024e-05,1
13,98,1,0.5773195876288659,448
13,235,1,0.02577319587628866,20
13,419,1,0.2822164948453608,219
13,887,1,0.04896907216494845,38
13,885,1,0.030927835051546393,24
13,573,1,0.001288659793814433,1
13,278,1,0.028350515463917526,22
13,1359,1,0.001288659793814433,1
13,13,5,0.002577319587628866,2
13,936,1,0.001288659793814433,1
14,77,1,0.6559680520633042,4435
14,104,1,0.34225706256470934,2314
14,412,1,0.00029581422866439876,2
14,380,5,0.0007395355716609969,5
14,1358,1,0.00044372134299659814,3
14,1244,1,0.00014790711433219938,1
14,14,5,0.00014790711433219938,1
15,82,1,0.2236842105263158,34
15,45,1,0.46710526315789475,71
15,868,1,0.05263157894736842,8
15,1168,1,0.02631578947368421,4
15,1322,1,0.019736842105263157,3
15,1328,1,0.06578947368421052,10
15,1158,1,0.046052631578947366,7
15,631,1,0.02631578947368421,4
15,771,1,0.05263157894736842,8
15,1625,1,0.006578947368421052,1
15,3835,1,0.006578947368421052,1
15,3023,1,0.006578947368421052,1
16,63,1,0.0899856938483548,629
16,16,5,0.5010014306151646,3502
16,16,4,0.09184549356223176,642
16,26,1,0.08583690987124463,600
16,62,3,0.1424892703862661,996
16,47,3,0.010300429184549357,72
16,101,4,0.005579399141630901,39
16,101,5,0.01559370529327611,109
16,49,4,0.001430615164520744,10
16,49,5,0.0068669527896995704,48
16,350,2,0.009585121602288985,67
16,32,1,0.01888412017167382,132
16,396,5,0.004721030042918455,33
16,396,4,0.0012875536480686696,9
16,404,1,0.0034334763948497852,24
16,358,3,0.007439198855507869,52
16,42,1,0.0008583690987124463,6
16,4,1,0.000715307582260372,5
16,828,3,0.0012875536480686696,9
16,189,2,0.0002861230329041488,2
16,422,2,0.00042918454935622315,3
16,1592,2,0.0001430615164520744,1
17,17,3,0.09865275966970882,227
17,17,5,0.30943068231203824,712
17,17,2,0.11603650586701435,267
17,17,4,0.03129074315514994,72
17,54,5,0.1577574967405476,363
17,54,2,0.10430247718383312,240
17,54,3,0.10604085180356367,244
17,54,4,0.03954802259887006,91
17,367,0,0.02303346371142981,53
17,4,2,0.0047805302042590175,11
17,4,4,0.000434593654932638,1
17,4,5,0.002607561929595828,6
17,4,3,0.004345936549326379,10
17,101,0,0.000869187309865276,2
17,867,3,0.000434593654932638,1
17,4214,1,0.000434593654932638,1
18,18,5,0.45454545454545453,55
18,18,4,0.04132231404958678,5
18,18,3,0.008264462809917356,1
18,52,1,0.008264462809917356,1
18,460,1,0.09090909090909091,11
18,155,1,0.17355371900826447,21
18,710,1,0.01652892561983471,2
18,701,5,0.09917355371900827,12
18,701,4,0.01652892561983471,2
18,183,1,0.04132231404958678,5
18,6,1,0.01652892561983471,2
18,604,1,0.008264462809917356,1
18,1190,1,0.008264462809917356,1
18,1212,1,0.008264462809917356,1
18,544,1,0.008264462809917356,1
19,24,5,0.4155405405405405,123
19,11,5,0.5777027027027027,171
19,792,1,0.0033783783783783786,1
19,992,1,0.0033783783783783786,1
20,75,0,0.7142857142857143,35
20,268,0,0.2653061224489796,13
20,20,5,0.02040816326530612,1
21,61,3,0.518918918918919,192
21,61,5,0.12162162162162163,45
21,61,4,0.002702702702702703,1
21,21,3,0.10270270270270271,38
21,21,5,0.10540540540540541,39
21,21,4,0.002702702702702703,1
21,366,3,0.13513513513513514,50
21,664,5,0.005405405405405406,2
21,11,0,0.002702702702702703,1
21,1686,1,0.002702702702702703,1
22,22,2,0.38095238095238093,32
22,22,3,0.011904761904761904,1
22,102,0,0.047619047619047616,4
22,31,0,0.023809523809523808,2
22,388,2,0.17857142857142858,15
22,521,0,0.011904761904761904,1
22,667,5,0.023809523809523808,2
22,389,5,0.05952380952380952,5
22,916,5,0.05952380952380952,5
22,52,3,0.08333333333333333,7
22,563,5,0.023809523809523808,2
22,6,3,0.05952380952380952,5
22,544,3,0.011904761904761904,1
22,662,5,0.023809523809523808,2
23,3,3,0.6306306306306306,70
23,369,3,0.3153153153153153,35
23,713,5,0.018018018018018018,2
23,3579,5,0.009009009009009009,1
23,23,0,0.018018018018018018,2
23,1150,0,0.009009009009009009,1
24,21,1,0.4396355353075171,193
24,303,1,0.1867881548974943,82
24,665,5,0.08428246013667426,37
24,769,1,0.04555808656036447,20
24,919,1,0.002277904328018223,1
24,821,1,0.22095671981776766,97
24,1604,3,0.00683371298405467,3
24,664,1,0.002277904328018223,1
24,5347,1,0.002277904328018223,1
24,5727,1,0.00683371298405467,3
24,6709,1,0.002277904328018223,1
25,25,5,0.4097222222222222,59
25,25,4,0.06944444444444445,10
25,67,1,0.25,36
25,416,2,0.041666666666666664,6
25,71,1,0.0763888888888889,11
25,391,1,0.0625,9
25,424,3,0.04861111111111111,7
25,102,5,0.013888888888888888,2
25,1482,1,0.006944444444444444,1
25,491,1,0.020833333333333332,3
26,26,2,0.1256404374091917,3286
26,26,3,0.09451709107593485,2472
26,26,5,0.3144452091458286,8224
26,26,4,0.028446891488873596,744
26,63,3,0.10656113787565956,2787
26,63,5,0.14292268869006652,3738
26,63,2,0.0989141240345645,2587
26,63,4,0.0330733348627361,865
26,4,3,0.00145293262980806,38
26,4,5,0.004397032958629655,115
26,4,4,0.00038235069205475264,10
26,4,2,0.002485279498355892,65
26,16,0,0.02798807065840789,732
26,42,5,0.003058805536438021,80
26,42,2,0.0072264280798348245,189
26,42,3,0.006041140934465092,158
26,42,4,0.00072646631490403,19
26,101,0,0.00034411562284927734,9
26,49,0,0.0010323468685478321,27
26,831,1,0.00011470520761642578,3
26,984,1,0.00015294027682190105,4
26,449,3,3.823506920547526e-05,1
26,3848,1,3.823506920547526e-05,1
27,76,2,0.15561959654178675,54
27,29,0,0.3688760806916426,128
27,674,3,0.01440922190201729,5
27,312,0,0.020172910662824207,7
27,736,0,0.2276657060518732,79
27,547,3,0.005763688760806916,2
27,81,0,0.01729106628242075,6
27,74,0,0.02881844380403458,10
27,676,2,0.008645533141210375,3
27,1189,0,0.09798270893371758,34
27,1338,0,0.011527377521613832,4
27,1627,0,0.005763688760806916,2
27,1195,0,0.0345821325648415,12
27,27,5,0.002881844380403458,1
28,18,3,0.4444444444444444,4
28,872,3,0.2222222222222222,2
28,701,3,0.1111111111111111,1
28,179,3,0.1111111111111111,1
28,6,1,0.1111111111111111,1
