from,to,action,p(s),frequency
1,716,0,0.75,9
1,3235,0,0.25,3
1,3775,1,0.45454545454545453,5
1,4295,1,0.09090909090909091,1
1,4581,1,0.2727272727272727,3
1,4610,1,0.09090909090909091,1
1,6904,1,0.09090909090909091,1
2,2,0,1.0,30
2,51,1,0.43333333333333335,13
2,70,1,0.03333333333333333,1
2,6991,1,0.5,15
2,8111,1,0.03333333333333333,1
2,6993,2,1.0,30
2,6992,3,1.0,30
2,2,4,1.0,30
3,713,0,0.03333333333333333,1
3,983,0,0.7,21
3,1149,0,0.03333333333333333,1
3,4764,0,0.03333333333333333,1
3,4847,0,0.03333333333333333,1
3,4853,0,0.16666666666666666,5
3,1291,1,0.5,15
3,4826,1,0.4,12
3,4949,1,0.03333333333333333,1
3,4962,1,0.06666666666666667,2
4,984,1,0.3,9
4,7017,1,0.03333333333333333,1
4,7067,1,0.6333333333333333,19
4,7177,1,0.03333333333333333,1
5,716,0,1.0,10
5,3775,1,0.3333333333333333,2
5,3781,1,0.16666666666666666,1
5,4581,1,0.16666666666666666,1
5,4583,1,0.3333333333333333,2
6,4289,1,1.0,1
7,77,0,0.9666666666666667,29
7,169,0,0.03333333333333333,1
7,296,2,0.03333333333333333,1
7,832,2,0.9666666666666667,29
8,70,1,1.0,1
8,6992,3,1.0,1
9,716,0,0.42857142857142855,3
9,2600,0,0.14285714285714285,1
9,3235,0,0.42857142857142855,3
9,3775,1,0.1111111111111111,1
9,4290,1,0.3333333333333333,3
9,4299,1,0.4444444444444444,4
9,6903,1,0.1111111111111111,1
9,323,2,0.3333333333333333,1
9,656,2,0.6666666666666666,2
10,3769,1,0.8666666666666667,26
10,5009,1,0.13333333333333333,4
10,10,3,0.16666666666666666,5
10,40,3,0.8333333333333334,25
10,3,5,0.7333333333333333,22
10,40,5,0.13333333333333333,4
10,369,5,0.13333333333333333,4
13,13,0,0.38461538461538464,5
13,489,0,0.6153846153846154,8
13,5424,2,0.625,10
13,5631,2,0.375,6
13,5422,3,0.3333333333333333,6
13,5630,3,0.6666666666666666,12
13,13,4,0.5263157894736842,10
13,489,4,0.47368421052631576,9
14,14,0,0.36666666666666664,11
14,380,0,0.6333333333333333,19
14,5120,2,0.7,21
14,5432,2,0.26666666666666666,8
14,6216,2,0.03333333333333333,1
14,5121,3,0.7,21
14,5407,3,0.3,9
14,14,4,0.5,15
14,380,4,0.5,15
15,15,0,0.5333333333333333,16
15,489,0,0.03333333333333333,1
15,914,0,0.43333333333333335,13
15,4141,2,0.4,12
15,4861,2,0.5666666666666667,17
15,5047,2,0.03333333333333333,1
15,4140,3,0.6,18
15,4926,3,0.4,12
15,15,4,0.5333333333333333,16
15,914,4,0.4666666666666667,14
15,15,5,0.26666666666666666,8
15,512,5,0.03333333333333333,1
15,914,5,0.7,21
16,16,0,0.9,27
16,101,0,0.03333333333333333,1
16,396,0,0.03333333333333333,1
16,4763,0,0.03333333333333333,1
17,7016,1,0.6153846153846154,8
17,7177,1,0.38461538461538464,5
20,4633,1,0.42857142857142855,3
20,4634,1,0.42857142857142855,3
20,5519,1,0.14285714285714285,1
20,1643,2,0.9090909090909091,10
20,4615,2,0.09090909090909091,1
20,20,3,0.875,7
20,560,3,0.125,1
20,20,4,0.6666666666666666,6
20,560,4,0.3333333333333333,3
20,20,5,0.3333333333333333,4
20,80,5,0.5,6
20,299,5,0.16666666666666666,2
21,366,2,1.0,22
22,4289,1,1.0,1
23,983,0,0.9333333333333333,28
23,1149,0,0.03333333333333333,1
23,4853,0,0.03333333333333333,1
23,1291,1,0.7,21
23,4639,1,0.03333333333333333,1
23,4826,1,0.23333333333333334,7
23,4949,1,0.03333333333333333,1
23,23,2,0.6666666666666666,20
23,491,2,0.06666666666666667,2
23,713,2,0.26666666666666666,8
23,23,4,0.7,21
23,713,4,0.3,9
24,24,0,1.0,30
24,4463,2,1.0,30
24,24,4,1.0,30
25,25,0,0.4,4
25,4636,0,0.6,6
27,27,1,1.0,30
27,27,4,1.0,30
27,27,5,1.0,30
28,102,0,1.0,1
28,216,4,1.0,1
28,28,5,1.0,1
29,5227,0,1.0,30
29,27,1,0.26666666666666666,8
29,5226,1,0.7333333333333333,22
29,439,2,1.0,30
31,31,0,1.0,2
31,7179,2,0.5,1
31,7180,2,0.5,1
32,1250,1,0.8333333333333334,25
32,1291,1,0.1,3
32,5395,1,0.06666666666666667,2
37,2153,2,0.03333333333333333,1
37,3251,2,0.9666666666666667,29
39,39,1,1.0,30
39,39,4,1.0,30
39,39,5,1.0,30
40,3769,1,0.7666666666666667,23
40,3771,1,0.03333333333333333,1
40,5009,1,0.2,6
40,10,3,0.06666666666666667,2
40,40,3,0.6333333333333333,19
40,3770,3,0.3,9
40,10,4,0.1,3
40,40,4,0.8,24
40,3770,4,0.1,3
41,1301,2,1.0,2
41,41,5,1.0,1
43,2662,2,0.03333333333333333,1
43,4348,2,0.9666666666666667,29
44,5227,0,0.5,1
44,7275,0,0.5,1
44,44,2,0.5,2
44,439,2,0.5,2
45,914,0,0.3684210526315789,7
45,5496,0,0.631578947368421,12
45,5497,2,1.0,14
45,45,3,0.3125,5
45,5497,3,0.625,10
45,5500,3,0.0625,1
46,3769,1,0.26666666666666666,8
46,4947,1,0.7333333333333333,22
47,16,0,0.13333333333333333,4
47,49,0,0.8666666666666667,26
51,6989,1,0.8666666666666667,26
51,7052,1,0.1,3
51,7085,1,0.03333333333333333,1
51,1169,3,1.0,30
51,51,4,1.0,30
51,51,5,1.0,30
52,6817,1,1.0,1
54,7016,1,0.46153846153846156,6
54,7017,1,0.38461538461538464,5
54,7177,1,0.07692307692307693,1
54,7354,1,0.07692307692307693,1
55,0,2,0.1,3
55,55,2,0.03333333333333333,1
55,276,2,0.5,15
55,2292,2,0.3,9
55,2661,2,0.06666666666666667,2
59,1546,1,1.0,1
62,16,0,0.9333333333333333,28
62,101,0,0.03333333333333333,1
62,396,0,0.03333333333333333,1
64,1696,1,0.16666666666666666,5
64,1782,1,0.8333333333333334,25
64,64,3,0.7,21
64,327,3,0.3,9
66,3251,2,0.26666666666666666,8
66,4404,2,0.7333333333333333,22
68,716,0,1.0,30
68,3775,1,0.26666666666666666,8
68,4130,1,0.03333333333333333,1
68,4295,1,0.23333333333333334,7
68,4334,1,0.03333333333333333,1
68,4581,1,0.36666666666666664,11
68,4583,1,0.03333333333333333,1
68,4609,1,0.03333333333333333,1
68,1211,2,0.5333333333333333,16
68,4294,2,0.4666666666666667,14
68,68,4,0.6,18
68,1203,4,0.4,12
69,836,1,1.0,1
70,7084,1,1.0,1
70,669,3,0.5,1
70,1169,3,0.5,1
70,51,4,0.5,1
70,70,4,0.5,1
71,8063,1,1.0,1
72,45,0,0.1,3
72,1158,0,0.9,27
72,5498,2,0.7,21
72,5499,2,0.3,9
72,5498,3,1.0,30
73,78,1,0.16666666666666666,5
73,320,1,0.8333333333333334,25
74,44,2,1.0,1
74,29,4,0.6666666666666666,2
74,74,4,0.3333333333333333,1
75,4038,1,0.13333333333333333,4
75,4040,1,0.03333333333333333,1
75,4136,1,0.06666666666666667,2
75,4415,1,0.7,21
75,4416,1,0.03333333333333333,1
75,4618,1,0.03333333333333333,1
75,4041,2,1.0,30
75,75,4,0.9666666666666667,29
75,1684,4,0.03333333333333333,1
76,27,1,1.0,6
