from,to,action,p(s),frequency
0,84,3,0.05,1
0,99,3,0.35,7
0,134,3,0.55,11
0,1623,3,0.05,1
0,0,4,0.7,14
0,231,4,0.25,5
0,1817,4,0.05,1
1,1768,2,0.95,19
1,1936,2,0.05,1
4,3,1,0.65,13
4,88,1,0.05,1
4,445,1,0.05,1
4,819,1,0.25,5
4,84,3,0.75,15
4,121,3,0.25,5
4,4,4,0.7,14
4,521,4,0.3,6
5,197,2,0.15,3
5,221,2,0.3,6
5,997,2,0.05,1
5,1037,2,0.25,5
5,1094,2,0.05,1
5,3038,2,0.2,4
6,1768,2,1.0,20
7,243,2,0.9,18
7,393,2,0.1,2
8,8,0,0.15,3
8,539,0,0.2,4
8,2294,0,0.65,13
8,1588,1,0.15,3
8,1693,1,0.1,2
8,1695,1,0.05,1
8,1849,1,0.05,1
8,1960,1,0.05,1
8,2294,1,0.6,12
8,8,3,0.75,15
8,110,3,0.25,5
8,8,4,0.65,13
8,110,4,0.3,6
8,3828,4,0.05,1
10,853,2,0.5,3
10,3437,2,0.16666666666666666,1
10,4436,2,0.16666666666666666,1
10,4627,2,0.16666666666666666,1
12,12,1,0.6,12
12,55,1,0.25,5
12,528,1,0.15,3
12,84,3,0.05,1
12,99,3,0.35,7
12,134,3,0.55,11
12,1623,3,0.05,1
15,1768,2,1.0,20
18,1606,0,0.3,6
18,1915,0,0.7,14
18,18,1,0.15,3
18,191,1,0.85,17
18,1576,2,1.0,20
18,18,4,0.6,12
18,135,4,0.4,8
18,18,5,0.7,14
18,135,5,0.3,6
19,765,1,0.2727272727272727,3
19,792,1,0.7272727272727273,8
19,759,2,0.15384615384615385,2
19,765,2,0.07692307692307693,1
19,1924,2,0.7692307692307693,10
19,19,4,0.6923076923076923,9
19,217,4,0.3076923076923077,4
23,23,0,1.0,20
23,23,1,1.0,20
23,48,2,0.95,19
23,544,2,0.05,1
23,23,4,1.0,20
23,23,5,0.2,4
23,1570,5,0.05,1
23,2237,5,0.75,15
25,7,2,0.05,1
25,171,2,0.15,3
25,597,2,0.4,8
25,1054,2,0.1,2
25,2334,2,0.05,1
25,2377,2,0.05,1
25,2481,2,0.05,1
25,2513,2,0.05,1
25,2889,2,0.05,1
25,3180,2,0.05,1
30,1296,2,0.25,1
30,2772,2,0.5,2
30,3838,2,0.25,1
31,1776,2,0.2,4
31,1778,2,0.8,16
31,31,4,0.55,11
31,148,4,0.4,8
31,542,4,0.05,1
34,91,2,0.6,12
34,2921,2,0.4,8
35,232,1,0.4,8
35,2778,1,0.55,11
35,3463,1,0.05,1
35,232,2,0.45,9
35,2920,2,0.5,10
35,3213,2,0.05,1
35,35,4,0.4,8
35,61,4,0.6,12
38,38,2,0.35,7
38,104,2,0.55,11
38,401,2,0.1,2
40,40,2,0.35,7
40,127,2,0.4,8
40,197,2,0.05,1
40,1037,2,0.2,4
42,7,2,0.6,12
42,87,2,0.35,7
42,1054,2,0.05,1
43,918,1,0.4,8
43,1582,1,0.3,6
43,2295,1,0.3,6
43,43,4,0.85,17
43,98,4,0.15,3
44,392,2,0.375,3
44,459,2,0.5,4
44,793,2,0.125,1
45,243,2,0.4,8
45,393,2,0.6,12
46,1502,2,0.75,15
46,1768,2,0.25,5
48,48,2,0.9,18
48,544,2,0.1,2
48,48,4,0.95,19
48,544,4,0.05,1
48,48,5,0.95,19
48,544,5,0.05,1
49,1768,2,0.8888888888888888,16
49,1931,2,0.1111111111111111,2
49,65,3,0.125,1
49,93,3,0.75,6
49,644,3,0.125,1
50,759,2,0.7,14
50,1893,2,0.05,1
50,1924,2,0.25,5
51,246,2,0.3333333333333333,1
51,393,2,0.3333333333333333,1
51,4893,2,0.3333333333333333,1
52,200,2,0.5,10
52,1296,2,0.5,10
54,759,2,0.2,4
54,1924,2,0.8,16
56,56,1,0.55,11
56,980,1,0.45,9
56,56,2,0.35,7
56,1035,2,0.2,4
56,2528,2,0.35,7
56,3279,2,0.1,2
56,99,3,0.8,16
56,134,3,0.2,4
56,56,4,0.55,11
56,980,4,0.45,9
56,56,5,0.6,12
56,761,5,0.1,2
56,816,5,0.1,2
56,980,5,0.2,4
58,58,2,0.7,14
58,160,2,0.3,6
59,59,1,0.6666666666666666,2
59,4320,1,0.3333333333333333,1
59,393,2,0.5,1
59,3547,2,0.5,1
60,1954,2,1.0,6
60,60,4,0.6,3
60,67,4,0.4,2
61,232,1,0.65,13
61,462,1,0.3,6
61,792,1,0.05,1
61,131,2,0.15,3
61,1924,2,0.2,4
61,2920,2,0.65,13
61,35,4,0.15,3
61,54,4,0.25,5
61,61,4,0.6,12
62,109,2,0.45,9
62,146,2,0.2,4
62,200,2,0.15,3
62,256,2,0.1,2
62,299,2,0.05,1
62,3726,2,0.05,1
63,73,1,0.25,5
63,1574,1,0.75,15
63,1587,2,1.0,20
63,63,4,0.8,16
63,130,4,0.2,4
66,66,1,0.85,17
66,861,1,0.15,3
66,1776,2,0.15,3
66,1777,2,0.05,1
66,3486,2,0.75,15
66,3530,2,0.05,1
67,267,1,0.8,4
67,788,1,0.2,1
67,1954,2,0.5,1
67,2248,2,0.5,1
67,50,4,0.6,6
67,67,4,0.4,4
69,921,1,0.25,1
69,1012,1,0.75,3
69,0,2,0.5,2
69,48,2,0.5,2
69,84,3,0.4,2
69,121,3,0.6,3
69,69,4,0.25,1
69,235,4,0.75,3
70,70,0,0.95,19
70,1604,0,0.05,1
70,70,1,0.05,1
70,1567,1,0.8,16
70,1702,1,0.05,1
70,1801,1,0.05,1
70,1972,1,0.05,1
70,1576,2,1.0,20
70,70,4,1.0,20
73,73,1,0.2,4
73,1574,1,0.65,13
73,1808,1,0.15,3
73,1587,2,1.0,20
77,1768,2,0.95,19
77,1931,2,0.05,1
78,146,2,0.3333333333333333,1
78,815,2,0.3333333333333333,1
78,3435,2,0.3333333333333333,1
79,109,2,0.5384615384615384,7
79,299,2,0.07692307692307693,1
79,459,2,0.07692307692307693,1
79,793,2,0.07692307692307693,1
79,2770,2,0.23076923076923078,3
80,2751,2,0.3333333333333333,1
80,3437,2,0.6666666666666666,2
81,11,4,0.2,4
81,81,4,0.8,16
82,82,1,0.4,2
82,298,1,0.6,3
82,1502,2,0.75,6
82,1768,2,0.25,2
82,82,4,1.0,4
84,3,1,0.6,12
84,445,1,0.2,4
84,819,1,0.2,4
85,147,2,0.7272727272727273,8
85,398,2,0.2727272727272727,3
86,1780,2,0.1,2
86,1894,2,0.65,13
86,1936,2,0.2,4
