from,to,action,p(s),frequency
0,69,0,0.4981684981684982,136
0,235,0,0.42857142857142855,117
0,71,0,0.007326007326007326,2
0,0,5,0.014652014652014652,4
0,0,2,0.003663003663003663,1
0,95,0,0.01098901098901099,3
0,486,5,0.02197802197802198,6
0,921,1,0.003663003663003663,1
0,1012,1,0.003663003663003663,1
0,323,0,0.003663003663003663,1
0,665,0,0.003663003663003663,1
1,50,5,0.64002828854314,6335
1,1,5,0.050717316629622144,502
1,1,0,0.03536067892503536,350
1,1,4,0.004546373004647403,45
1,77,5,0.0167710648615882,166
1,77,0,0.010002020610224288,99
1,77,4,0.0013133966457870277,13
1,20,5,0.20781976156799353,2057
1,54,5,0.016973125884016973,168
1,67,5,0.005253586583148111,52
1,259,0,0.0003030915336431602,3
1,259,5,0.0010103051121438675,10
1,157,3,0.00010103051121438674,1
1,65,3,0.0010103051121438675,10
1,93,3,0.0038391594261466965,38
1,86,1,0.0006061830672863204,6
1,15,1,0.0013133966457870277,13
1,36,5,0.0018185492018589614,18
1,36,0,0.0006061830672863204,6
1,36,4,0.0003030915336431602,3
1,311,3,0.00020206102242877348,2
1,1638,2,0.00010103051121438674,1
2,67,5,0.12244897959183673,42
2,217,5,0.49271137026239065,169
2,210,5,0.18658892128279883,64
2,259,5,0.014577259475218658,5
2,259,0,0.011661807580174927,4
2,259,4,0.0029154518950437317,1
2,2,5,0.06997084548104957,24
2,2,0,0.008746355685131196,3
2,2,4,0.0029154518950437317,1
2,207,4,0.0058309037900874635,2
2,207,5,0.03206997084548105,11
2,207,0,0.02040816326530612,7
2,644,3,0.0029154518950437317,1
2,19,5,0.02040816326530612,7
2,157,3,0.0029154518950437317,1
2,65,3,0.0029154518950437317,1
3,56,2,0.007820927723840345,29
3,55,2,0.5275080906148867,1956
3,84,0,0.08090614886731391,300
3,3,5,0.1186623516720604,440
3,3,1,0.003236245954692557,12
3,3,4,0.011866235167206042,44
3,132,2,0.0008090614886731392,3
3,124,2,0.007551240560949299,28
3,147,2,0.06957928802588997,258
3,176,2,0.01483279395900755,55
3,4,0,0.029935275080906147,111
3,231,2,0.03047464940668824,113
3,121,0,0.00674217907227616,25
3,12,2,0.052049622437971954,193
3,99,2,0.011057173678532902,41
3,99,0,0.00026968716289104636,1
3,99,3,0.00026968716289104636,1
3,472,2,0.005124056094929882,19
3,0,2,0.0016181229773462784,6
3,819,5,0.0040453074433656954,15
3,819,1,0.00026968716289104636,1
3,819,4,0.00026968716289104636,1
3,837,2,0.0010787486515641855,4
3,521,0,0.003236245954692557,12
3,980,2,0.0040453074433656954,15
3,675,2,0.0005393743257820927,2
3,1021,2,0.0008090614886731392,3
3,184,2,0.0008090614886731392,3
3,445,0,0.00026968716289104636,1
3,1087,2,0.0016181229773462784,6
3,1074,2,0.001348435814455232,5
3,1398,2,0.00026968716289104636,1
3,662,2,0.00026968716289104636,1
3,3550,2,0.0005393743257820927,2
3,739,2,0.00026968716289104636,1
4,0,2,0.04862023653088042,37
4,12,2,0.6346911957950065,483
4,184,2,0.01576872536136662,12
4,240,2,0.017082785808147174,13
4,4,2,0.08015768725361366,61
4,4,0,0.018396846254927726,14
4,4,5,0.010512483574244415,8
4,316,5,0.00788436268068331,6
4,140,2,0.09067017082785808,69
4,111,5,0.01971090670170828,15
4,486,2,0.00788436268068331,6
4,132,2,0.026281208935611037,20
4,728,2,0.001314060446780552,1
4,330,2,0.002628120893561104,2
4,980,2,0.005256241787122208,4
4,662,2,0.005256241787122208,4
4,536,2,0.001314060446780552,1
4,863,2,0.001314060446780552,1
4,278,2,0.003942181340341655,3
4,521,5,0.001314060446780552,1
5,5,4,0.09369024856596558,98
5,5,5,0.28680688336520077,300
5,5,1,0.020076481835564052,21
5,40,5,0.22848948374760994,239
5,40,4,0.03919694072657744,41
5,83,0,0.05736137667304015,60
5,83,3,0.052581261950286805,55
5,27,0,0.016252390057361378,17
5,27,3,0.0124282982791587,13
5,127,4,0.010516252390057362,11
5,127,5,0.04780114722753346,50
5,16,3,0.027724665391969407,29
5,16,0,0.02676864244741874,28
5,260,1,0.0019120458891013384,2
5,100,1,0.02198852772466539,23
5,103,1,0.032504780114722756,34
5,706,1,0.0019120458891013384,2
5,143,5,0.009560229445506692,10
5,143,1,0.0057361376673040155,6
5,143,4,0.0038240917782026767,4
5,164,0,0.0019120458891013384,2
5,164,3,0.0009560229445506692,1
6,77,0,0.7208032128514056,4487
6,1,0,0.12048192771084337,750
6,6,5,0.08995983935742972,560
6,6,4,0.004016064257028112,25
6,6,1,0.0008032128514056225,5
6,15,5,0.012690763052208835,79
6,15,4,0.0008032128514056225,5
6,86,1,0.007068273092369478,44
6,86,5,0.0011244979919678715,7
6,145,0,0.021686746987951807,135
6,65,3,0.0027309236947791163,17
6,149,5,0.006265060240963855,39
6,149,4,0.000321285140562249,2
6,236,1,0.000642570281124498,4
6,283,0,0.00321285140562249,20
6,93,3,0.000642570281124498,4
6,282,0,0.005622489959839358,35
6,343,3,0.000321285140562249,2
6,258,5,0.0008032128514056225,5
7,59,1,0.008403361344537815,2
7,90,3,0.3067226890756303,73
7,7,4,0.07563025210084033,18
7,7,5,0.06722689075630252,16
7,7,3,0.046218487394957986,11
7,45,0,0.046218487394957986,11
7,25,3,0.05042016806722689,12
7,68,0,0.23109243697478993,55
7,138,0,0.04201680672268908,10
7,858,3,0.004201680672268907,1
7,87,4,0.008403361344537815,2
7,87,5,0.02100840336134454,5
7,87,1,0.012605042016806723,3
7,1054,5,0.004201680672268907,1
7,1054,4,0.012605042016806723,3
7,239,3,0.004201680672268907,1
7,424,3,0.029411764705882353,7
7,1344,3,0.004201680672268907,1
7,1465,3,0.004201680672268907,1
7,1284,0,0.004201680672268907,1
7,433,3,0.012605042016806723,3
