from,to,action,p(s),frequency
1,880,0,1.0,10
1,2891,1,0.7,7
1,2893,1,0.2,2
1,2894,1,0.1,1
2,2,0,1.0,10
2,3930,1,1.0,10
2,3929,2,1.0,10
2,3931,3,1.0,10
2,2,4,1.0,10
3,983,0,1.0,10
3,1291,1,0.6,6
3,2330,1,0.4,4
4,984,1,0.2,2
4,2901,1,0.8,8
5,716,0,0.2,2
5,880,0,0.8,8
5,2891,1,0.9,9
5,2893,1,0.1,1
6,2758,1,0.9,9
6,3836,1,0.1,1
7,77,0,1.0,10
7,296,2,0.2,2
7,832,2,0.8,8
8,1249,1,0.4,2
8,3930,1,0.6,3
8,3929,2,0.875,7
8,4378,2,0.125,1
8,3931,3,0.7,7
8,4443,3,0.3,3
8,2,4,0.5,4
8,8,4,0.5,4
9,2895,0,1.0,10
9,2761,1,1.0,10
9,656,2,0.9,9
9,959,2,0.1,1
10,2340,1,0.6,6
10,2969,1,0.4,4
10,10,3,0.1,1
10,40,3,0.9,9
10,3,5,0.6,6
10,40,5,0.2,2
10,369,5,0.2,2
11,11,0,1.0,10
11,4482,2,1.0,10
11,1425,3,0.9,9
11,1604,3,0.1,1
11,11,4,0.8,8
11,24,4,0.2,2
13,13,0,0.3,3
13,489,0,0.7,7
13,2909,2,0.5,5
13,2934,2,0.5,5
13,2461,3,0.6,6
13,2908,3,0.4,4
13,13,4,0.4,4
13,489,4,0.6,6
14,14,0,0.4,4
14,380,0,0.6,6
14,2343,2,0.8,8
14,2500,2,0.2,2
14,2342,3,0.3,3
14,2364,3,0.7,7
14,14,4,0.4,4
14,380,4,0.6,6
15,15,0,0.4,4
15,914,0,0.6,6
15,3075,2,0.14285714285714285,1
15,3626,2,0.5714285714285714,4
15,3963,2,0.2857142857142857,2
15,2723,3,0.5,4
15,3585,3,0.5,4
15,15,4,0.4,4
15,914,4,0.6,6
15,15,5,0.6,6
15,914,5,0.4,4
16,16,0,0.8,8
16,101,0,0.2,2
17,2902,1,0.6,6
17,2933,1,0.4,4
18,31,0,0.1,1
18,102,0,0.9,9
18,28,2,0.9,9
18,4286,2,0.1,1
19,19,0,0.6,6
19,661,0,0.4,4
19,4125,2,0.3,3
19,4301,2,0.7,7
19,4121,3,0.4,4
19,4140,3,0.6,6
19,19,4,0.4,4
19,661,4,0.6,6
20,3625,1,0.5,5
20,4442,1,0.4,4
20,4478,1,0.1,1
20,1643,2,0.8,8
20,4448,2,0.2,2
20,20,3,0.9,9
20,560,3,0.1,1
20,20,4,0.7,7
20,560,4,0.3,3
20,20,5,0.6,6
20,80,5,0.1,1
20,299,5,0.2,2
