from,to,action,p(s),frequency
3,69,3,0.1,1
3,78,3,0.5,5
3,115,3,0.1,1
3,134,3,0.3,3
13,200,5,0.4,4
13,265,5,0.3,3
13,270,5,0.3,3
17,412,3,0.4,4
17,542,3,0.2,2
17,545,3,0.2,2
17,561,3,0.2,2
18,412,3,0.1,1
18,561,3,0.6,6
18,658,3,0.3,3
28,265,5,0.3,3
28,270,5,0.7,7
37,615,3,0.1,1
37,625,3,0.5,5
37,771,3,0.3,3
37,780,3,0.1,1
49,412,3,0.6,6
49,542,3,0.3,3
49,545,3,0.1,1
62,545,3,0.4,4
62,697,3,0.1,1
62,728,3,0.1,1
62,737,3,0.3,3
62,763,3,0.1,1
64,666,3,0.2,2
64,696,3,0.6,6
64,697,3,0.1,1
64,820,3,0.1,1
70,70,5,0.6,6
70,153,5,0.4,4
77,615,3,0.3,3
77,625,3,0.7,7
80,169,3,0.375,3
80,533,3,0.625,5
80,80,4,1.0,8
86,544,3,0.9,9
86,696,3,0.1,1
87,544,3,0.6,6
87,545,3,0.3,3
87,696,3,0.1,1
90,696,3,1.0,5
92,545,3,0.8,8
92,697,3,0.1,1
92,749,3,0.1,1
98,204,3,0.1,1
98,224,3,0.3,3
98,266,3,0.2,2
98,377,3,0.2,2
98,409,3,0.2,2
104,53,4,0.9,9
104,105,4,0.1,1
110,119,2,0.7,7
110,883,2,0.3,3
117,412,3,0.4,4
117,542,3,0.1,1
117,561,3,0.4,4
117,658,3,0.1,1
124,124,5,0.4,4
124,161,5,0.6,6
127,125,5,0.1,1
127,127,5,0.1,1
127,170,5,0.5,5
127,266,5,0.3,3
130,130,1,0.8,8
130,362,1,0.1,1
130,445,1,0.1,1
132,130,3,0.8,8
132,362,3,0.1,1
132,455,3,0.1,1
133,171,3,0.3,3
133,455,3,0.7,7
141,30,5,0.1,1
141,99,5,0.1,1
141,102,5,0.2,2
141,103,5,0.1,1
141,126,5,0.2,2
141,141,5,0.3,3
145,265,5,0.5,5
145,270,5,0.5,5
147,116,5,0.1,1
147,130,5,0.1,1
147,147,5,0.3,3
147,171,5,0.1,1
147,455,5,0.4,4
153,70,5,0.5,5
153,107,5,0.2,2
153,153,5,0.3,3
157,482,5,0.8,8
157,810,5,0.2,2
185,184,0,0.6666666666666666,4
185,188,0,0.3333333333333333,2
186,360,3,1.0,10
193,362,5,1.0,2
196,196,5,0.9,9
196,281,5,0.1,1
198,171,5,0.1,1
198,198,5,0.7,7
198,275,5,0.1,1
198,455,5,0.1,1
221,221,5,1.0,10
222,222,5,0.9,9
222,454,5,0.1,1
226,7,0,0.4,4
226,168,0,0.6,6
226,121,3,0.3,3
226,274,3,0.5,5
226,430,3,0.2,2
227,227,5,1.0,10
229,508,0,0.6666666666666666,2
229,766,0,0.3333333333333333,1
229,170,5,0.25,1
229,172,5,0.25,1
229,229,5,0.5,2
241,810,5,1.0,5
261,519,3,1.0,2
261,261,4,1.0,1
277,450,0,0.9,9
277,813,0,0.1,1
300,666,3,1.0,10
300,300,4,1.0,10
344,190,5,0.1,1
344,344,5,0.8,8
344,535,5,0.1,1
347,265,5,0.5,1
347,270,5,0.5,1
361,205,5,0.6,6
361,361,5,0.4,4
456,456,1,1.0,4
456,894,5,1.0,3
511,170,5,0.16666666666666666,1
511,172,5,0.8333333333333334,5
545,871,3,1.0,3
547,547,4,0.6,6
547,574,4,0.4,4
558,558,2,0.5,2
558,573,2,0.25,1
558,597,2,0.25,1
571,701,3,0.1,1
571,727,3,0.7,7
571,756,3,0.2,2
574,547,4,0.3,3
574,574,4,0.4,4
574,575,4,0.3,3
579,565,1,1.0,10
579,754,3,1.0,10
579,579,4,1.0,10
580,596,1,0.5,5
580,783,1,0.5,5
580,589,2,0.2,2
580,786,2,0.8,8
580,784,3,0.6,6
580,785,3,0.3,3
580,799,3,0.1,1
584,577,2,0.2,2
584,584,2,0.8,8
585,784,3,0.7,7
585,802,3,0.3,3
585,585,4,0.4,4
585,589,4,0.6,6
597,701,3,0.2,2
597,727,3,0.7,7
597,756,3,0.1,1
627,739,3,1.0,10
627,627,4,1.0,10
864,876,1,1.0,1
864,877,5,1.0,2
