from,to,action,p(s),frequency
0,0,4,0.14566436814462824,4077
0,0,2,0.22376647968844904,6263
0,0,5,0.24466754796527207,6848
0,24,5,0.0158991032191218,445
0,24,4,0.005180606666904855,145
0,24,2,0.0074314909428704135,208
0,15,1,0.17746257458287185,4967
0,19,2,0.022365929472292687,626
0,19,4,0.01614920147200686,452
0,19,5,0.02740362285183465,767
0,39,0,0.006574011218693058,184
0,41,1,0.01968630533423845,551
0,26,0,0.0671692450605595,1880
0,12,1,0.012290542713208761,344
0,7,0,0.0026081674943727894,73
0,48,3,0.004358855264568223,122
0,81,3,0.000500196505770124,14
0,84,3,7.145664368144628e-05,2
0,109,1,0.00032155489656650826,9
0,132,3,3.572832184072314e-05,1
0,129,3,0.00032155489656650826,9
0,261,0,3.572832184072314e-05,1
0,209,3,3.572832184072314e-05,1
1,27,3,0.06278115903678222,949
1,1,1,0.24517068007409368,3706
1,1,5,0.08725853400370469,1319
1,1,4,0.008269383434771103,125
1,61,1,0.24808150304313312,3750
1,61,5,0.11669753903148981,1764
1,61,4,0.006813971950251389,103
1,16,0,0.012635617888330246,191
1,20,2,0.10333421540089971,1562
1,14,3,0.04300079386080974,650
1,56,2,0.04875628473141043,737
1,22,0,0.007673987827467584,116
1,22,1,0.00019846520243450649,3
1,22,5,6.615506747816882e-05,1
1,144,3,0.003307753373908441,50
1,135,3,0.004233924318602805,64
1,99,0,0.0009261709446943636,14
1,103,0,0.0007938608097380259,12
2,2,5,0.37960339943342775,2680
2,2,1,0.06926345609065156,489
2,2,4,0.04929178470254957,348
2,51,5,0.1811614730878187,1279
2,51,4,0.03215297450424929,227
2,51,1,0.06713881019830029,474
2,9,3,0.03342776203966006,236
2,8,0,0.04688385269121813,331
2,68,0,0.06558073654390935,463
2,5,2,0.025920679886685553,183
2,30,3,0.03541076487252125,250
2,53,2,0.00821529745042493,58
2,138,3,0.00141643059490085,10
2,206,3,0.0022662889518413596,16
2,217,3,0.000708215297450425,5
2,75,0,0.0005665722379603399,4
2,175,3,0.000708215297450425,5
2,460,5,0.00014164305949008498,1
2,72,5,0.00014164305949008498,1
3,37,5,0.7308306709265175,2745
3,25,5,0.233493077742279,877
3,3,2,0.009584664536741214,36
3,3,4,0.0029286474973375934,11
3,75,0,0.012247071352502662,46
3,23,0,0.005324813631522897,20
3,72,1,0.002129925452609159,8
3,47,2,0.001863684771033014,7
3,490,5,0.0010649627263045794,4
3,38,1,0.0005324813631522897,2
4,4,1,0.27956989247311825,130
4,4,4,0.0064516129032258064,3
4,38,5,0.5956989247311828,277
4,186,2,0.07096774193548387,33
4,80,0,0.03870967741935484,18
4,194,3,0.008602150537634409,4
5,2,1,0.0737570799244808,586
5,5,4,0.08231592196349906,654
5,5,5,0.2471994965387036,1964
5,5,2,0.017117684078036502,136
5,30,3,0.027186910006293266,216
5,3,5,0.14386406544996852,1143
5,3,2,0.005034612964128383,40
5,3,4,0.0026431718061674008,21
5,53,5,0.039144115796098174,311
5,53,4,0.009314033983637508,74
5,53,2,0.0013845185651353053,11
5,51,1,0.08747640025173065,695
5,8,0,0.12800503461296414,1017
5,68,0,0.02920075519194462,232
5,9,3,0.01434864694776589,114
5,10,4,0.008055380742605412,64
5,10,5,0.009943360604153555,79
5,10,2,0.001132787916928886,9
5,50,0,0.01422278162366268,113
5,36,1,0.004405286343612335,35
5,47,5,0.007929515418502203,63
5,47,2,0.0003775959723096287,3
5,47,4,0.0003775959723096287,3
5,23,0,0.0012586532410320957,10
5,75,0,0.033857772183763374,269
5,58,3,0.0013845185651353053,11
5,95,4,0.0013845185651353053,11
5,95,5,0.001132787916928886,9
5,95,2,0.00012586532410320956,1
5,217,3,0.0002517306482064191,2
5,78,3,0.0006293266205160479,5
5,206,3,0.000881057268722467,7
5,138,3,0.002265575833857772,18
5,72,1,0.0015103838892385148,12
5,97,3,0.0002517306482064191,2
5,38,1,0.0002517306482064191,2
5,371,0,0.00012586532410320956,1
5,175,3,0.00012586532410320956,1
5,476,5,0.00012586532410320956,1
6,6,0,0.272924579489962,1509
6,6,4,0.0028938325194429373,16
6,45,5,0.15120274914089346,836
6,29,5,0.48706818592873935,2693
6,49,0,0.06673901247965273,369
6,49,4,0.0007234581298607343,4
6,136,1,0.009043226623259178,50
6,25,2,0.003436426116838488,19
6,34,1,0.0036172906493036716,20
6,17,2,0.002170374389582203,12
6,615,3,0.00018086453246518358,1
7,7,0,0.2064291247095275,1066
7,7,5,0.32978311386522074,1703
7,7,4,0.1254841208365608,648
7,43,2,0.06351665375677769,328
7,12,1,0.23721920991479473,1225
