from,to,action,p(s),frequency
0,69,0,0.491566265060241,204
0,235,0,0.40240963855421685,167
0,71,0,0.014457831325301205,6
0,0,5,0.021686746987951807,9
0,0,2,0.0024096385542168677,1
0,95,0,0.02650602409638554,11
0,486,5,0.01927710843373494,8
0,921,1,0.0024096385542168677,1
0,1012,1,0.0024096385542168677,1
0,323,0,0.0024096385542168677,1
0,665,0,0.00963855421686747,4
0,126,0,0.004819277108433735,2
1,50,5,0.6442622950819672,7074
1,1,5,0.0436247723132969,479
1,1,0,0.03224043715846994,354
1,1,4,0.004280510018214936,47
1,77,5,0.015482695810564663,170
1,77,0,0.010018214936247723,110
1,77,4,0.0010018214936247723,11
1,20,5,0.2145719489981785,2356
1,54,5,0.01785063752276867,196
1,67,5,0.00546448087431694,60
1,259,0,0.000273224043715847,3
1,259,5,0.0009107468123861566,10
1,157,3,0.00018214936247723133,2
1,65,3,0.001639344262295082,18
1,93,3,0.003916211293260473,43
1,86,1,0.0006375227686703097,7
1,15,1,0.0011839708561020036,13
1,36,5,0.0017304189435336976,19
1,36,0,0.0004553734061930783,5
1,36,4,9.107468123861566e-05,1
1,311,3,9.107468123861566e-05,1
1,644,3,9.107468123861566e-05,1
2,67,5,0.11715481171548117,56
2,217,5,0.5104602510460251,244
2,210,5,0.19246861924686193,92
2,259,5,0.012552301255230125,6
2,259,0,0.008368200836820083,4
2,259,4,0.0020920502092050207,1
2,2,5,0.058577405857740586,28
2,2,0,0.010460251046025104,5
2,2,4,0.0020920502092050207,1
2,207,4,0.0041841004184100415,2
2,207,5,0.027196652719665274,13
2,207,0,0.02092050209205021,10
2,644,3,0.0020920502092050207,1
2,19,5,0.02510460251046025,12
2,157,3,0.0041841004184100415,2
2,65,3,0.0020920502092050207,1
3,56,2,0.005645889792231256,25
3,55,2,0.5291327913279132,2343
3,84,0,0.08242999096657633,365
3,3,5,0.12172538392050587,539
3,3,1,0.0033875338753387536,15
3,3,4,0.012420957542908763,55
3,132,2,0.0006775067750677507,3
3,124,2,0.011291779584462511,50
3,147,2,0.06549232158988257,290
3,176,2,0.015808491418247517,70
3,4,0,0.026422764227642278,117
3,231,2,0.03297199638663053,146
3,121,0,0.006323396567299007,28
3,12,2,0.0490063233965673,217
3,99,2,0.011743450767841012,52
3,99,0,0.00022583559168925022,1
3,99,3,0.0006775067750677507,3
3,472,2,0.004968383017163505,22
3,0,2,0.0027100271002710027,12
3,819,5,0.004516711833785004,20
3,819,1,0.00022583559168925022,1
3,837,2,0.001129177958446251,5
3,521,0,0.0024841915085817524,11
3,980,2,0.00045167118337850043,2
3,675,2,0.0006775067750677507,3
3,1021,2,0.0013550135501355014,6
3,184,2,0.0018066847335140017,8
3,445,0,0.0006775067750677507,3
3,1087,2,0.001129177958446251,5
3,1074,2,0.0013550135501355014,6
3,1398,2,0.00022583559168925022,1
3,662,2,0.00022583559168925022,1
3,739,2,0.00045167118337850043,2
3,1724,2,0.00022583559168925022,1
4,0,2,0.060240963855421686,55
4,12,2,0.6166484118291348,563
4,184,2,0.02190580503833516,20
4,240,2,0.017524644030668127,16
4,4,2,0.06571741511500548,60
4,4,0,0.019715224534501644,18
4,4,5,0.013143483023001095,12
4,4,4,0.001095290251916758,1
4,316,5,0.007667031763417305,7
4,140,2,0.09090909090909091,83
4,111,5,0.025191675794085433,23
4,486,2,0.01095290251916758,10
4,132,2,0.027382256297918947,25
4,728,2,0.001095290251916758,1
4,330,2,0.002190580503833516,2
4,980,2,0.004381161007667032,4
4,662,2,0.00547645125958379,5
4,536,2,0.001095290251916758,1
4,863,2,0.001095290251916758,1
4,278,2,0.002190580503833516,2
4,521,5,0.001095290251916758,1
4,2091,2,0.001095290251916758,1
4,1979,2,0.001095290251916758,1
4,84,3,0.001095290251916758,1
5,5,4,0.09575233981281497,133
5,5,5,0.298776097912167,415
5,5,1,0.017998560115190784,25
5,40,5,0.2203023758099352,306
5,40,4,0.03815694744420446,53
5,83,0,0.0619150467962563,86
5,83,3,0.04967602591792657,69
5,27,0,0.017998560115190784,25
5,27,3,0.009359251259899209,13
5,127,4,0.0064794816414686825,9
