from,to,action,p(s),frequency
0,84,3,0.2,2
0,121,3,0.1,1
0,169,3,0.2,2
0,219,3,0.1,1
0,448,3,0.1,1
0,795,3,0.1,1
0,1677,3,0.2,2
0,0,4,0.5,5
0,231,4,0.2,2
0,486,4,0.2,2
0,1678,4,0.1,1
1,1578,2,1.0,10
2,49,1,0.6,6
2,292,1,0.2,2
2,298,1,0.1,1
2,467,1,0.1,1
2,1578,2,1.0,10
4,3,1,0.6,6
4,88,1,0.1,1
4,230,1,0.1,1
4,819,1,0.2,2
4,84,3,0.9,9
4,121,3,0.1,1
4,4,4,0.7,7
4,521,4,0.3,3
5,197,2,0.2,2
5,221,2,0.3,3
5,1037,2,0.2,2
5,1815,2,0.3,3
6,1578,2,1.0,10
7,243,2,0.9,9
7,1659,2,0.1,1
8,539,0,0.1,1
8,1928,0,0.9,9
8,1575,1,0.2,2
8,1928,1,0.8,8
8,8,3,0.9,9
8,110,3,0.1,1
8,8,4,0.7,7
8,110,4,0.3,3
10,24,2,0.1,1
10,1946,2,0.1,1
10,1953,2,0.2,2
10,2011,2,0.1,1
10,2054,2,0.1,1
10,2211,2,0.1,1
10,2291,2,0.1,1
10,2335,2,0.1,1
10,2363,2,0.1,1
12,12,1,0.4,4
12,55,1,0.5,5
12,528,1,0.1,1
12,84,3,0.4,4
12,99,3,0.2,2
12,134,3,0.1,1
12,448,3,0.2,2
12,819,3,0.1,1
15,1578,2,1.0,10
18,1574,0,0.3,3
18,1754,0,0.7,7
18,18,1,0.3,3
18,191,1,0.7,7
18,1569,2,1.0,10
18,18,4,0.5,5
18,135,4,0.5,5
18,18,5,0.7,7
18,135,5,0.2,2
18,2026,5,0.1,1
19,765,1,0.2,2
19,792,1,0.8,8
19,759,2,0.2,2
19,1577,2,0.8,8
19,19,4,0.7,7
19,217,4,0.3,3
25,171,2,0.3,3
25,949,2,0.1,1
25,958,2,0.2,2
25,1219,2,0.1,1
25,1588,2,0.1,1
25,1656,2,0.2,2
29,29,0,0.6,6
29,209,0,0.4,4
29,2006,1,0.6,6
29,2016,1,0.4,4
29,1159,2,0.5,5
29,1624,2,0.5,5
