from,to,action,p(s),frequency
0,7,5,0.9164601769911505,7767
0,1,3,0.05486725663716814,465
0,1,4,0.027492625368731562,233
0,266,5,0.0007079646017699115,6
0,0,4,0.00011799410029498526,1
0,0,3,0.00011799410029498526,1
0,129,1,0.00023598820058997051,2
1,27,5,0.8813354786806115,2191
1,62,3,0.02011263073209976,50
1,62,4,0.015687851971037812,39
1,7,5,0.08004827031375704,199
1,1,4,0.0012067578439259854,3
1,1,3,0.0008045052292839903,2
1,49,2,0.00040225261464199515,1
1,38,3,0.00040225261464199515,1
2,10,2,0.5321467991169978,3857
2,10,1,0.0005518763796909492,4
2,2,5,0.4379139072847682,3174
2,2,4,0.0008278145695364238,6
2,2,3,0.0004139072847682119,3
2,58,2,0.01338300220750552,97
2,48,5,0.010899558498896247,79
2,48,4,0.0001379690949227373,1
2,13,2,0.0013796909492273732,10
2,6,5,0.0002759381898454746,2
2,225,2,0.0012417218543046358,9
2,291,1,0.0001379690949227373,1
2,300,1,0.0001379690949227373,1
2,416,5,0.0005518763796909492,4
3,21,3,0.448235974551764,2325
3,8,4,0.1524966261808367,791
3,8,2,0.02834008097165992,147
3,8,5,0.000963948332369385,5
3,41,3,0.21688837478311163,1125
3,3,4,0.12357817620975516,641
3,3,2,0.01156737998843262,60
3,3,5,0.000385579332947754,2
3,42,3,0.004434162328899171,23
3,53,4,0.004048582995951417,21
3,59,4,0.001349527665317139,7
3,59,2,0.000192789666473877,1
3,59,0,0.000385579332947754,2
3,59,5,0.000192789666473877,1
3,133,3,0.000385579332947754,2
3,126,1,0.000385579332947754,2
3,71,3,0.003277424330055909,17
3,39,1,0.000385579332947754,2
3,134,1,0.001542317331791016,8
3,179,1,0.000385579332947754,2
3,293,1,0.000385579332947754,2
3,36,4,0.000192789666473877,1
4,22,1,0.001374231856250162,53
4,22,2,0.02826250421344673,1090
4,24,0,0.2593408872870589,10002
4,23,0,0.04405320610884954,1699
4,4,5,0.6319651515544378,24373
4,4,4,0.0056006430367931135,216
4,4,3,0.002929966033137138,113
4,4,1,0.0005445069619104415,21
4,63,5,0.0031892550626183005,123
4,63,4,2.5928902948116264e-05,1
4,91,2,0.014883190292218736,574
4,117,0,0.0009334405061321855,36
4,138,2,7.77867088443488e-05,3
4,152,0,0.00036300464127362773,14
4,118,0,0.004174553374646718,161
4,57,0,0.0012964451474058133,50
4,251,2,7.77867088443488e-05,3
4,87,0,7.77867088443488e-05,3
4,218,0,5.185780589623253e-05,2
4,172,5,0.0004148624471698602,16
4,172,3,2.5928902948116264e-05,1
4,244,0,5.185780589623253e-05,2
4,250,5,0.00012964451474058132,5
4,139,0,0.00010371561179246506,4
4,176,0,2.5928902948116264e-05,1
4,279,0,2.5928902948116264e-05,1
5,35,3,0.7681651116765621,2717
5,30,3,0.08651399491094147,306
5,60,4,0.09725756290641786,344
5,60,5,0.02685891998869098,95
5,5,4,0.009895391574780888,35
5,5,5,0.0028272547356516823,10
5,5,1,0.0005654509471303364,2
5,135,5,0.004240882103477523,15
5,302,1,0.0002827254735651682,1
5,38,3,0.0022618037885213456,8
5,47,4,0.0002827254735651682,1
5,209,5,0.0005654509471303364,2
5,61,1,0.0002827254735651682,1
6,10,2,0.9045074842047237,21331
6,2,5,0.0612305474282322,1444
6,2,4,0.0005088411143620405,12
6,2,3,0.00012721027859051011,3
6,13,2,0.004452359750667854,105
6,74,2,0.028367892125683754,669
6,6,5,0.00025442055718102023,6
6,90,5,0.00033922740957469366,8
6,90,4,4.240342619683671e-05,1
6,300,1,4.240342619683671e-05,1
6,225,0,0.00012721027859051011,3
7,27,5,0.917642924086223,7833
7,27,4,0.0010543580131208998,9
7,27,3,0.0005857544517338331,5
7,54,2,0.011363636363636364,97
7,7,5,0.06806466729147141,581
7,197,2,0.0011715089034676663,10
7,487,1,0.00011715089034676664,1
8,0,3,0.74487646044819,3889
8,25,4,0.14384217582838538,751
8,25,2,0.033518483049224286,175
8,99,1,0.012832790653131584,67
8,123,1,0.00842750430951925,44
8,129,1,0.03485922237119326,182
8,133,3,0.000957670944263551,5
8,59,0,0.0005746025665581306,3
8,59,2,0.0001915341888527102,1
8,59,4,0.0001915341888527102,1
8,21,3,0.013790461597395135,72
8,8,4,0.001723807699674392,9
8,8,2,0.0003830683777054204,2
8,71,3,0.0021068760773798123,11
8,126,1,0.0001915341888527102,1
8,39,1,0.0003830683777054204,2
8,84,1,0.0001915341888527102,1
8,26,0,0.0007661367554108408,4
8,19,1,0.0001915341888527102,1
9,39,1,0.0691233691920348,302
9,84,1,0.17898832684824903,782
9,55,3,0.1245136186770428,544
9,9,4,0.12817578393224993,560
9,9,2,0.10643167772945754,465
9,9,5,0.001373311970702678,6
