id,value,p(s),frequency
0,Held(PLAYER;NOTHING)+Held(PARTNER;SOUP)+PotState(POT0;NOT_STARTED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;INTERACT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.014406483790523691,5777
1,Held(PLAYER;NOTHING)+Held(PARTNER;SOUP)+PotState(POT0;NOT_STARTED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;INTERACT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.004466334164588528,1791
2,Held(PLAYER;ONION)+Held(PARTNER;NOTHING)+PotState(POT0;PREPARING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;INTERACT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.011812967581047381,4737
3,Held(PLAYER;NOTHING)+Held(PARTNER;DISH)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.008728179551122194,3500
4,Held(PLAYER;DISH)+Held(PARTNER;NOTHING)+PotState(POT0;COOKING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;TOP)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;INTERACT)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.06446882793017457,25852
5,Held(PLAYER;NOTHING)+Held(PARTNER;ONION)+PotState(POT0;NOT_STARTED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.006047381546134664,2425
6,Held(PLAYER;ONION)+Held(PARTNER;NOTHING)+PotState(POT0;PREPARING)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;INTERACT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.03984039900249377,15976
7,Held(PLAYER;ONION)+Held(PARTNER;SOUP)+PotState(POT0;NOT_STARTED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;INTERACT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.014705735660847881,5897
8,Held(PLAYER;NOTHING)+Held(PARTNER;DISH)+PotState(POT0;FINISHED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(NORTHEAST),0.008802992518703243,3530
9,Held(PLAYER;NOTHING)+Held(PARTNER;NOTHING)+PotState(POT0;FINISHED)+PotState(POT1;NOT_STARTED)+Action2Nearest(ONION;LEFT)+Action2Nearest(TOMATO;STAY)+Action2Nearest(SOUP;STAY)+Action2Nearest(DISH;BOTTOM)+Action2Nearest(SERVICE;STAY)+Action2Nearest(POT0;STAY)+Action2Nearest(POT1;STAY)+Direction(EAST),0.007084788029925187,2841
